,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,87.5,97.5,485.0,97.5,95.5,1045.5,97.5
clamav.csv,376.0,97.5,190.0,99.0,88.5,1349.5,97.5
k3b.csv,627.5,97.5,286.5,99.0,99.0,1353.5,97.5
kindb.csv,376.0,97.5,190.0,97.5,33.5,1738.0,97.5
pclasses.csv,186.0,162.0,65.0,300.0,184.0,1158.5,165.0
re2c.csv,298.0,97.5,47.5,97.5,90.5,1349.0,39.5
thrust.csv,88.5,90.5,181.0,97.5,95.5,1353.5,82.5
