,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.65,0.29,0.29,0.77
jajuk.csv,0.79,0.24,0.3,0.73
vapor.csv,0.49,0.14,0.41,0.75
zorannt.csv,0.71,0.34,0.28,0.68
