,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.99,0.69,0.37,0.94,0.76,0.76,0.69,0.71,0.47,0.92,1.0,0.72,0.7,0.88,0.8,1.0,0.44,0.87,0.88
dspace-gsoc.csv,0.55,0.94,0.59,0.89,0.59,0.96,0.88,0.37,1.0,0.44,0.82,0.67,0.4,0.84,0.61,0.65,0.8,0.7,0.94
grisbi.csv,1.0,0.76,1.0,1.0,0.6,0.81,1.0,0.83,0.71,0.25,0.79,0.7,0.9,0.71,0.61,0.65,0.95,0.93,0.97
maidsafe-dht.csv,0.59,0.81,0.93,0.91,0.45,0.79,0.84,0.6,0.49,0.38,1.0,0.71,0.77,0.44,0.73,0.91,0.8,0.84,0.53
mesa3d.csv,0.7,0.76,0.71,0.67,0.77,0.69,0.81,0.53,1.01,0.61,0.91,0.81,0.67,1.01,0.51,0.55,1.0,0.79,0.67
n2cms.csv,0.51,0.35,0.62,0.72,0.5,0.87,0.67,0.63,0.71,0.32,0.85,0.63,0.82,0.85,0.59,0.67,0.49,0.82,0.84
nassp.csv,1.0,0.79,0.67,0.99,0.73,0.77,0.79,0.3,0.81,0.65,1.0,0.84,0.92,0.77,0.73,0.66,0.66,0.76,0.75
ninject.csv,0.86,0.71,0.79,0.81,0.78,0.59,0.98,0.93,0.74,0.78,1.0,0.97,0.77,1.05,0.88,0.68,0.18,0.73,0.65
nug.csv,0.99,0.74,0.8,0.8,0.87,0.38,0.91,0.62,0.73,0.93,0.63,0.85,0.77,0.97,0.72,0.79,0.86,0.71,1.0
nuttx.csv,0.96,0.92,0.69,0.6,0.8,0.8,0.68,0.61,1.0,0.81,0.67,0.58,0.92,0.77,0.65,0.82,1.0,0.59,0.7
oorexx.csv,0.7,0.76,0.6,0.81,0.52,0.85,0.73,0.37,0.79,0.44,0.73,0.47,0.82,0.67,0.62,0.58,0.8,0.55,0.59
oppna-program-hsatools.csv,1.0,0.79,1.0,0.94,0.92,0.8,0.88,0.94,0.22,0.37,1.0,0.62,0.9,0.57,1.04,0.94,1.0,1.0,1.0
redshell.csv,1.0,0.83,0.73,0.77,0.74,0.73,0.46,0.93,0.97,1.19,0.98,0.81,0.97,0.95,0.68,0.82,0.78,0.75,0.77
super-tux.csv,0.54,0.75,0.85,1.0,0.67,0.63,0.66,0.58,0.95,1.07,0.97,0.72,0.95,0.73,0.08,0.83,1.0,0.66,0.55
tart.csv,1.0,0.82,0.64,0.95,0.5,0.82,0.72,0.5,0.57,0.5,0.92,0.24,0.93,0.91,0.61,0.93,0.55,0.66,0.84
tcvp.csv,1.0,0.9,1.0,0.99,0.93,1.0,1.01,1.0,1.01,0.98,0.22,1.02,1.0,1.06,0.98,0.97,0.8,1.0,1.0
vdsf.csv,0.66,0.77,1.0,0.99,0.89,0.95,0.88,0.93,0.88,1.0,0.72,0.76,0.95,0.99,0.81,0.99,1.0,0.89,0.97
web-cat.csv,0.72,0.8,0.61,0.79,0.74,0.79,0.79,0.72,0.88,0.71,0.99,0.61,0.97,0.96,0.45,0.66,0.89,0.66,0.53
zabbix.csv,0.72,0.78,0.64,0.82,0.55,0.92,0.68,0.42,0.7,0.42,0.87,0.52,0.83,0.54,0.49,0.73,1.0,0.59,0.59
