,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.2,0.47,0.06,0.19,0.43,0.81,0.51,0.46,0.49,0.2,0.95,0.25
archive-crawler.csv,0.21,0.51,0.09,0.19,0.42,0.67,0.58,0.42,0.52,1.0,0.46,0.26
blue-c.csv,0.18,0.43,0.17,0.0,0.63,1.0,0.82,0.58,0.54,0.31,0.53,0.23
dynalloy.csv,0.29,1.0,0.08,0.12,0.49,0.7,0.63,0.54,0.65,0.21,0.53,0.21
jcae.csv,0.33,0.5,1.0,0.0,1.0,1.0,0.93,1.0,0.87,0.19,0.8,0.25
kmatplot.csv,0.97,0.3,0.33,0.39,0.44,0.82,0.53,0.44,0.52,0.58,0.0,0.4
mscore.csv,0.21,0.4,0.13,0.19,0.6,0.77,0.99,0.64,0.59,0.28,0.33,0.29
nosleepsoftware.csv,0.44,0.32,0.19,1.0,0.56,0.39,0.75,0.55,0.82,0.25,0.42,0.3
openmalaria.csv,0.25,0.36,0.12,0.31,0.8,0.75,0.74,1.0,0.58,0.35,0.41,0.26
popeye-chess.csv,0.19,0.44,0.21,0.0,0.97,0.83,0.79,0.59,0.6,0.37,0.47,0.35
riff-evolve.csv,0.28,0.54,0.15,0.37,0.71,0.71,0.78,0.72,0.96,0.33,0.48,0.26
virtuoso.csv,0.22,0.32,0.1,0.26,0.71,0.55,0.61,0.45,0.51,0.31,0.59,0.95
