,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.29,0.52,0.08,0.22,0.54,0.67,0.37,0.52,0.56,0.24,0.95,0.16
archive-crawler.csv,0.32,0.41,0.14,0.24,0.58,0.63,0.63,0.51,0.4,0.98,0.35,0.36
blue-c.csv,0.3,0.58,0.27,0.0,0.74,0.98,0.72,0.65,0.66,0.43,0.67,0.36
dynalloy.csv,0.36,0.96,0.15,0.15,0.58,0.56,0.58,0.63,0.61,0.28,0.44,0.31
jcae.csv,0.3,0.19,0.88,0.0,0.29,0.33,0.34,0.09,0.25,0.15,0.31,0.11
kmatplot.csv,0.97,0.26,0.27,0.41,0.3,0.44,0.39,0.16,0.21,0.4,0.0,0.43
mscore.csv,0.33,0.38,0.23,0.26,0.65,0.65,1.0,0.64,0.59,0.33,0.33,0.42
nosleepsoftware.csv,0.46,0.21,0.3,0.9,0.48,0.29,0.61,0.23,0.32,0.27,0.4,0.38
openmalaria.csv,0.36,0.44,0.22,0.42,0.67,0.67,0.72,0.95,0.62,0.49,0.55,0.39
popeye-chess.csv,0.3,0.42,0.3,0.0,0.93,0.72,0.52,0.58,0.52,0.46,0.58,0.48
riff-evolve.csv,0.42,0.54,0.25,0.47,0.67,0.63,0.64,0.67,0.95,0.43,0.54,0.37
virtuoso.csv,0.35,0.45,0.17,0.41,0.54,0.71,0.74,0.61,0.64,0.46,0.68,0.94
