,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.28,0.31,0.66,0.45,0.17,0.42,0.53,0.49,0.54,0.31
empserver.csv,0.49,0.54,0.36,0.32,0.63,0.51,0.55,0.66,0.57,0.33
enlightenment.csv,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
ffigo.csv,0.48,0.36,0.26,0.0,0.0,0.0,0.34,0.75,0.28,0.0
ildjit.csv,0.49,0.76,0.34,0.25,0.29,0.0,0.58,0.33,0.59,0.16
jfreereport.csv,0.13,0.09,0.47,0.19,0.1,0.29,0.31,0.29,0.1,0.06
mplayer-ce.csv,0.52,0.37,0.3,0.47,0.68,0.51,0.21,0.63,0.6,0.62
psycle.csv,0.68,0.37,0.61,0.66,0.45,0.65,0.0,0.61,0.05,0.54
wikipediardware.csv,0.58,0.42,0.34,0.64,0.13,0.52,0.63,0.53,0.55,0.79
wxjs.csv,0.06,0.0,0.06,0.0,0.0,0.95,0.0,0.0,0.0,0.0
