,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.62,0.97,0.92,0.67,0.35,0.48,0.6,0.36,0.47,0.34
electric-core.csv,0.63,0.85,0.28,0.76,0.47,0.67,0.75,0.57,0.66,0.46
jahshakafx.csv,0.51,0.99,0.86,0.54,0.58,0.88,0.91,0.88,0.6,0.67
jython.csv,0.63,0.89,0.95,0.67,0.57,0.62,0.92,0.7,0.52,0.46
kftpgrabber.csv,0.69,0.43,0.25,0.54,0.82,0.58,0.92,0.53,0.55,0.92
mvnforum.csv,0.99,0.99,0.94,0.75,0.76,0.8,0.93,0.89,0.89,0.75
openmalaria.csv,0.36,0.39,0.24,0.47,0.35,0.41,0.5,0.27,0.37,0.34
plplot.csv,0.54,0.38,0.26,0.42,0.38,0.7,0.51,0.28,0.43,0.4
popeye-chess.csv,0.49,0.53,0.27,0.56,0.37,0.44,0.5,0.43,0.41,0.38
zxing.csv,0.5,0.53,0.93,0.52,0.42,0.55,0.43,0.44,0.46,0.41
