,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.0,3.0,4.0,0.0,7.0,4.0,1.0,0.0,10.0,0.0
electric-core.csv,57.0,0.0,1.0,11.0,1.0,7.0,13.0,1.0,17.0,0.0
jahshakafx.csv,0.0,7.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
jython.csv,102.0,6.0,0.0,6.0,1.0,9.0,13.0,1.0,18.0,0.0
kftpgrabber.csv,46.0,37.0,6.0,6.0,1.0,0.0,7.0,1.0,0.0,0.0
mvnforum.csv,47.0,9.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0
openmalaria.csv,3.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,1.0
plplot.csv,4.0,2.0,0.0,2.0,1.0,0.0,14.0,1.0,2.0,0.0
popeye-chess.csv,49.0,6.0,1.0,0.0,0.0,1.0,8.0,0.0,8.0,1.0
zxing.csv,57.0,19.0,1.0,1.0,1.0,3.0,5.0,0.0,16.0,0.0
