,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.66,0.08,0.57,0.26,0.21,0.76,0.5,0.23,0.07,0.38,0.53
gamestone.csv,0.92,0.44,0.45,0.32,0.18,0.0,0.67,0.11,0.01,0.42,0.0
gbif-providertoolkit.csv,0.59,0.0,0.46,0.27,0.39,0.6,0.32,0.29,0.07,0.41,0.6
heekscad.csv,0.78,0.25,0.69,0.44,0.21,0.79,0.41,0.22,0.06,0.44,0.54
igarden.csv,0.88,0.38,0.58,0.39,0.23,0.82,0.49,0.29,0.09,0.41,0.55
levent.csv,0.72,0.0,0.0,0.0,0.21,0.83,0.38,0.0,0.0,0.0,0.52
lportal.csv,0.6,0.0,0.5,0.0,1.0,0.75,1.0,0.22,0.15,0.5,0.71
natpad.csv,0.7,0.21,0.47,0.28,0.17,0.71,0.41,0.13,0.05,0.37,0.59
openmsx.csv,0.61,0.15,0.46,0.31,0.18,0.64,0.24,0.13,0.0,0.52,0.32
owlapi.csv,0.53,0.0,0.4,0.2,0.2,0.71,0.34,0.35,0.04,0.37,0.41
xcsoar.csv,0.86,0.3,0.67,0.34,0.27,0.77,0.49,0.23,0.06,0.39,0.51
