,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.26,0.5,0.18,0.94,0.16,0.38,0.2,0.61,0.64,0.58,0.0,0.5,0.11,0.39,0.74,0.62
arsenal-1.csv,0.09,0.25,0.2,0.26,0.05,0.69,0.0,0.02,0.09,0.27,0.0,0.06,0.0,0.39,0.11,0.03
bnetd.csv,0.97,0.83,0.73,0.48,0.79,1.0,0.14,0.8,0.94,1.0,0.4,0.43,0.21,1.0,0.95,0.93
cascading.csv,0.43,0.25,1.0,0.58,0.67,0.78,0.2,0.39,0.42,0.11,0.0,0.47,0.37,0.14,0.84,0.52
fm-classic.csv,0.12,0.33,0.03,0.06,0.08,0.09,0.11,0.26,0.12,0.02,0.0,0.01,0.05,0.07,0.0,0.25
free-evolution.csv,0.53,0.5,0.42,0.65,0.94,0.15,0.37,0.33,0.42,0.38,0.8,0.37,1.0,0.07,0.47,0.35
gnome-jabber.csv,0.64,0.5,0.6,0.23,0.81,0.87,0.69,0.63,0.76,0.62,0.2,0.76,0.84,0.83,0.42,0.8
guineu.csv,0.28,0.0,0.57,0.45,0.06,0.28,0.37,0.02,0.15,0.04,1.0,0.09,0.16,0.03,0.0,0.07
ipfilter.csv,0.76,0.83,0.73,0.94,0.92,1.0,0.71,0.87,0.91,1.0,1.0,0.83,0.05,0.96,0.95,0.94
jruby.csv,0.53,0.25,0.02,0.32,1.0,0.04,0.0,0.15,0.85,0.87,0.4,0.09,1.0,0.53,0.58,0.3
l2j.csv,0.59,0.58,0.35,0.13,0.1,0.84,0.26,0.59,0.45,0.11,0.2,0.37,0.26,0.39,0.21,0.64
libmesh.csv,0.14,0.25,0.4,0.0,0.14,0.28,0.8,0.33,0.24,0.0,0.0,0.47,0.05,0.57,0.26,0.45
mvdsv.csv,0.0,0.0,0.02,0.0,0.03,0.0,0.03,0.09,0.06,0.0,0.0,0.04,0.0,0.0,0.05,0.04
stajistics.csv,0.72,0.67,0.9,0.68,0.97,0.56,0.51,0.35,0.33,0.44,1.0,0.63,1.0,0.57,0.47,0.29
twostep.csv,0.86,0.92,0.37,1.0,0.75,0.5,0.91,0.57,0.48,0.16,0.4,0.34,0.37,0.58,0.89,0.8
x4x.csv,0.55,0.25,0.98,0.42,0.71,0.9,0.63,0.54,0.88,0.91,0.6,0.96,0.89,0.95,0.95,0.64
