,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
empserver.csv,0.22,0.54,0.45,0.46,0.0,0.61,0.34,0.43
enlightenment.csv,0.36,0.63,0.57,0.01,0.42,0.19,0.25,0.29
ffigo.csv,0.57,0.89,0.47,0.74,0.91,0.36,0.02,1.0
ildjit.csv,0.11,0.02,0.06,0.06,0.24,0.06,0.05,0.21
jfreereport.csv,0.72,0.58,0.0,0.55,0.52,0.6,0.68,0.79
psycle.csv,0.07,0.66,0.78,0.57,0.85,0.67,0.66,0.5
wikipediardware.csv,0.5,0.62,0.83,0.69,0.85,0.89,0.75,0.0
wxjs.csv,0.01,0.0,0.0,0.01,0.0,0.0,0.05,0.0
