,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
empserver.csv,0.77,0.09,0.15,0.61,1.0,0.1,0.72,0.8
enlightenment.csv,0.73,0.12,0.17,0.99,0.58,0.11,0.76,0.82
ffigo.csv,0.69,0.25,0.19,0.59,0.52,0.09,0.99,0.69
ildjit.csv,0.64,0.93,0.15,0.52,0.33,0.0,0.75,0.0
jfreereport.csv,0.55,0.25,0.98,0.57,0.48,0.11,0.55,0.63
psycle.csv,0.97,0.28,0.15,0.63,0.51,0.1,0.63,0.79
wikipediardware.csv,0.73,0.29,0.14,0.61,0.53,0.09,0.65,1.0
wxjs.csv,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
