,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.3,0.98,0.1,0.76,0.92,0.81,0.35,0.18,0.38,0.12,0.0,0.88,0.97,0.55,0.3,0.86
echongl.csv,0.26,1.0,0.16,0.67,0.81,0.84,0.41,0.22,0.55,0.91,0.01,0.73,0.5,0.63,0.43,0.39
findbugs.csv,0.38,1.0,0.18,0.72,0.8,0.85,0.29,0.16,0.5,0.97,0.02,0.76,0.94,0.62,0.45,0.72
google-web-toolkit.csv,0.27,1.0,0.13,0.69,0.76,0.86,0.23,0.3,0.51,0.81,0.01,0.73,0.92,0.72,0.42,0.66
gwanted.csv,0.35,1.0,0.24,0.89,0.85,0.83,0.42,0.38,0.69,0.82,0.02,0.77,0.96,0.65,0.4,1.0
ivatamasks.csv,0.26,0.99,0.06,0.85,0.88,0.81,0.29,0.17,0.48,0.72,0.01,0.72,0.96,0.6,0.38,0.79
onotoa.csv,0.07,0.99,0.05,0.73,1.0,0.84,0.06,0.18,0.17,0.73,0.0,0.67,1.0,0.66,0.26,0.84
orc.csv,0.08,1.0,0.32,0.72,0.85,0.88,0.3,0.22,0.59,0.0,0.02,0.81,0.94,0.65,0.39,0.5
plato.csv,0.26,0.99,0.08,0.72,0.94,0.82,0.36,0.22,0.44,0.74,0.01,0.73,0.97,0.6,0.37,0.69
proftp.csv,0.0,1.0,0.27,0.78,0.78,0.95,0.21,0.26,0.69,0.84,0.03,0.83,0.67,0.63,0.54,0.75
rodin-b-sharp.csv,1.0,0.96,0.38,0.61,0.85,0.75,0.79,0.13,0.35,0.74,0.0,0.9,1.0,0.53,0.32,0.54
uclmda.csv,0.0,1.0,0.03,0.0,0.67,0.71,0.22,0.0,0.21,1.0,0.0,0.34,1.0,0.48,0.29,0.83
umber.csv,0.71,0.98,0.11,0.76,0.84,0.83,0.38,0.17,0.46,0.71,0.01,0.83,0.97,0.58,0.31,0.65
unicase.csv,0.52,1.0,0.12,0.66,0.86,0.88,0.45,0.25,0.48,0.85,0.01,0.83,0.33,0.61,0.39,0.64
wpdev.csv,0.26,1.0,0.1,0.68,0.84,0.84,0.36,0.15,0.45,0.72,0.01,0.73,0.96,0.59,0.38,0.63
