,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.71,0.75,0.24,0.87,0.92,0.84,0.83,0.83,0.43,0.79,0.66,0.52,1.01,0.86,0.88
glelite.csv,0.96,0.68,0.93,0.98,1.0,0.94,0.97,0.97,0.96,0.68,0.94,0.95,0.04,0.92,0.82
hannosset.csv,0.86,0.96,0.78,0.2,0.86,0.87,1.0,0.24,0.85,0.99,0.27,1.0,1.17,0.8,1.0
ipfilter.csv,0.91,0.67,0.96,0.84,0.94,0.92,0.68,0.88,0.73,0.58,0.58,0.1,1.01,0.9,0.76
moving-pictures.csv,0.74,0.53,1.0,0.22,0.6,0.56,0.42,1.09,0.72,0.59,0.6,0.63,0.7,0.63,0.32
pclasses.csv,0.33,0.57,1.0,0.52,0.71,0.88,0.77,1.11,0.5,0.86,0.95,0.86,0.9,0.82,0.71
pfaedit.csv,0.93,0.44,0.98,0.48,0.51,0.31,0.72,1.08,0.68,0.72,0.77,0.89,0.58,0.62,0.66
qcad2.csv,0.92,0.71,0.71,0.69,0.4,0.47,0.83,1.05,0.63,0.51,0.59,0.87,0.49,0.69,0.86
rockbox.csv,0.84,0.7,1.0,0.4,0.73,0.56,0.67,1.03,0.89,0.89,0.76,0.94,0.88,0.86,0.4
roller.csv,0.71,0.68,0.97,0.96,0.85,0.42,0.83,0.88,0.35,0.87,0.97,0.95,0.71,0.76,0.65
theresa.csv,0.87,0.48,0.81,0.24,0.76,0.43,0.66,1.03,0.62,0.94,0.96,0.74,0.79,0.74,0.74
tzod.csv,0.77,0.53,0.52,0.46,0.66,0.56,0.97,1.03,0.63,0.77,0.85,0.59,0.83,0.78,0.79
xinity.csv,0.75,0.93,1.0,1.18,0.82,0.91,0.98,0.51,0.68,0.63,0.88,0.74,1.04,0.48,0.96
zabbix.csv,0.79,0.52,0.49,0.37,0.49,0.71,0.75,1.03,0.72,0.61,0.82,0.88,0.48,0.86,0.67
