,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.93,0.26,0.77,1.0,0.88,1.0
jlinalg.csv,0.07,0.67,0.76,0.0,0.36,0.67
knowledge.csv,0.14,0.33,0.81,0.0,0.6,0.29
massiv.csv,0.0,0.1,0.0,0.0,0.03,0.0
playerstage.csv,0.14,0.31,0.23,0.2,0.35,0.75
ultimairis.csv,0.21,0.42,0.61,0.2,0.7,0.24
