,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.26,0.71,0.56,0.0,0.37,0.0
jlinalg.csv,0.82,0.53,0.49,0.37,0.9,0.46
knowledge.csv,0.78,0.55,0.5,0.88,0.64,0.34
massiv.csv,0.17,0.11,0.0,0.0,0.99,0.02
playerstage.csv,0.64,0.45,0.73,0.71,0.52,0.52
ultimairis.csv,0.68,0.64,0.68,0.78,0.68,0.68
