,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.61,0.67,0.57,0.68,0.81,0.3,0.48,0.44,0.58,0.22,0.57,0.38,0.55,0.27,0.5,0.67,0.57,0.55
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.38,0.2,0.35,0.73,0.44,0.6
bionote.csv,0.41,0.78,0.12,0.21,0.29,0.0,0.2,0.38,0.24,0.29,0.18,0.47,0.96,0.55,0.43,0.17,0.47,0.46
bnetd.csv,0.28,0.0,0.3,0.4,0.45,0.47,0.5,0.0,0.61,0.4,0.66,0.0,0.62,0.66,0.5,0.17,0.34,0.54
elvishrayrenderer.csv,0.59,0.5,0.12,0.72,0.78,0.71,0.2,0.13,0.29,0.5,0.63,0.46,0.72,0.65,0.45,0.17,0.69,0.75
emisview.csv,0.24,0.0,0.35,0.5,0.45,0.74,0.2,0.13,0.58,0.0,0.4,0.4,0.53,0.51,0.36,0.11,0.47,0.07
findbugs.csv,0.28,0.66,0.0,0.36,0.0,0.2,0.65,0.55,0.62,0.07,0.55,0.28,0.38,0.4,0.62,0.57,0.34,0.53
hazelcast.csv,0.54,0.63,0.59,0.61,0.96,0.42,0.56,0.55,0.52,0.48,0.49,0.61,0.68,0.67,0.54,0.61,0.72,0.52
jitterbit.csv,0.0,0.73,0.52,0.66,0.53,0.52,0.36,0.16,0.72,0.28,0.32,0.42,0.56,0.68,0.65,0.21,0.56,0.65
jppf-project.csv,0.36,0.4,0.46,0.3,0.32,0.37,0.58,0.46,0.43,0.45,0.43,0.76,0.4,0.52,0.53,0.3,0.53,0.41
kolmafia.csv,0.3,0.77,0.05,0.73,0.69,0.3,0.53,0.0,0.67,0.58,0.72,0.0,0.17,0.72,0.09,0.13,0.35,0.7
megasquirtavr.csv,0.48,0.0,0.59,0.3,0.0,0.36,0.58,0.52,0.54,0.18,0.0,0.56,0.34,0.38,0.48,0.29,0.37,0.3
qedo.csv,0.15,0.27,0.06,0.3,0.11,0.05,0.25,0.37,0.25,0.47,0.35,0.32,0.14,0.2,0.21,0.81,0.09,0.3
stajistics.csv,0.52,0.21,0.0,0.61,0.71,0.75,0.26,0.4,0.44,0.38,0.36,0.38,0.8,0.13,0.48,0.68,0.73,0.24
trackit.csv,0.06,0.0,0.12,0.27,0.19,0.11,0.58,0.02,0.32,0.18,0.35,0.05,0.0,0.07,0.13,0.11,0.16,0.04
wxlua.csv,0.28,0.34,0.44,0.38,0.22,0.16,0.42,0.02,0.51,0.72,0.13,0.26,0.5,0.41,0.41,0.61,0.3,0.5
x4x.csv,0.74,0.56,0.58,0.41,0.56,0.48,0.43,0.48,0.53,0.54,0.37,0.0,0.45,0.49,0.42,0.4,0.59,0.6
xharbour.csv,0.29,0.79,0.72,0.66,0.67,0.58,0.68,0.52,0.63,0.58,0.5,0.4,0.78,0.67,0.61,0.34,0.66,0.65
