,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.25,0.01,0.0,0.02,0.0,0.0,0.0
jcl.csv,0.0,0.03,0.0,0.01,0.03,0.16,0.0
openxava.csv,0.75,0.48,0.51,0.02,0.37,0.5,0.62
tcvp.csv,0.0,0.51,0.0,0.02,0.12,0.0,0.15
vars-redux.csv,0.75,0.18,0.25,0.36,0.0,0.3,0.17
werx.csv,0.0,0.98,0.97,0.69,0.99,1.0,0.98
