,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.44,0.6,0.51,0.14,0.42,0.36,0.23,0.04,0.06,0.44,0.27,0.23,0.88,0.52
doomlegacy.csv,0.54,0.62,0.51,0.71,0.56,0.36,0.74,0.51,0.5,1.0,0.5,0.59,0.83,0.55
empserver.csv,0.64,0.54,0.37,0.43,0.97,0.45,0.47,0.47,0.42,0.41,0.46,0.45,0.51,0.27
fritzing.csv,0.66,0.97,0.48,0.29,0.33,0.09,0.7,0.36,0.6,0.22,0.35,0.36,0.27,0.28
ifmo-game-1.csv,0.2,0.15,0.01,1.0,0.03,0.0,0.0,0.07,0.0,0.06,0.04,0.0,0.0,0.04
jparsec.csv,0.78,0.93,0.84,1.0,1.0,0.73,1.0,0.96,1.0,0.89,0.92,1.0,0.9,1.0
lmms.csv,0.2,0.03,0.99,0.57,0.53,0.82,0.79,0.2,0.64,0.65,0.5,0.68,0.7,0.45
lufa-lib.csv,0.64,0.49,0.57,0.43,0.72,0.18,0.55,0.69,0.97,0.54,0.46,0.55,0.4,0.84
pgui.csv,0.46,0.56,0.28,0.29,0.33,0.27,0.98,0.29,0.98,0.6,0.27,0.45,0.48,0.32
pi-qmc.csv,0.38,0.4,0.46,0.29,0.72,0.18,0.51,0.62,0.54,0.32,0.35,1.0,0.31,0.79
repositorium.csv,0.46,0.22,0.2,0.29,0.06,0.73,0.17,0.4,0.02,0.15,0.23,0.0,0.27,0.36
superwaba.csv,0.98,0.76,0.51,0.57,0.58,0.64,0.81,0.53,0.7,0.74,0.69,0.86,0.65,0.51
xapian.csv,0.84,0.42,0.35,0.71,0.61,0.27,0.62,0.56,0.22,0.5,0.85,0.18,0.43,0.5
zemljanka.csv,0.88,0.99,0.97,0.86,0.72,1.0,1.0,0.98,0.98,0.74,1.0,1.0,0.99,1.0
