,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.81,0.71,0.65,0.87,0.7,0.74,0.8,0.96,0.94,0.78,0.78,0.77,0.12,0.82
doomlegacy.csv,0.65,0.55,0.62,0.55,0.7,0.78,0.53,0.61,0.66,0.04,0.56,0.46,0.77,0.5
empserver.csv,0.49,0.59,0.71,0.71,0.03,0.74,0.62,0.61,0.64,0.7,0.64,0.6,0.61,0.77
fritzing.csv,0.42,0.03,0.58,0.81,0.73,0.92,0.62,0.69,0.64,0.78,0.66,0.64,0.75,0.75
ifmo-game-1.csv,0.8,0.85,0.99,0.0,0.97,1.0,1.0,0.94,1.0,0.94,0.96,1.0,1.0,0.96
jparsec.csv,0.74,0.89,0.92,0.91,1.0,0.92,1.0,0.05,1.0,0.74,0.89,1.0,0.96,1.0
lmms.csv,0.81,0.97,0.02,0.69,0.79,0.48,0.68,0.81,0.68,0.64,0.65,0.75,0.82,0.71
lufa-lib.csv,0.74,0.65,0.66,0.76,0.64,0.86,0.75,0.83,0.03,0.71,0.76,0.6,0.66,1.01
pgui.csv,0.64,0.73,0.76,0.78,0.71,0.77,0.02,0.72,0.95,0.67,0.78,0.87,0.68,0.69
pi-qmc.csv,0.83,0.65,0.71,0.92,0.78,0.88,0.64,0.53,0.63,0.8,0.73,0.0,0.71,0.91
repositorium.csv,0.7,0.82,0.83,0.76,0.95,0.27,0.86,0.68,0.99,0.97,0.84,1.0,0.76,0.78
superwaba.csv,0.02,0.51,0.65,0.79,0.64,0.66,0.61,0.59,0.71,0.63,0.47,0.37,0.62,0.66
xapian.csv,0.8,0.64,0.69,0.38,0.44,0.76,0.57,0.91,0.81,0.55,0.15,0.83,0.68,0.67
zemljanka.csv,0.61,0.95,1.0,0.93,0.92,0.97,1.0,0.93,0.99,0.67,1.0,1.0,0.99,0.0
