,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.85,0.75,0.58,0.62,0.62,0.72,0.54,0.74,0.89,0.8,0.86,0.59,0.53
bscwweasel.csv,0.97,0.93,0.61,0.38,0.53,0.57,0.83,0.69,0.65,0.64,0.77,0.65,0.42
capcode.csv,0.99,0.82,0.69,0.75,0.79,0.42,0.76,0.74,0.49,0.61,0.77,0.67,0.57
emite.csv,0.81,0.8,0.6,0.78,0.5,0.86,0.83,0.78,0.87,0.74,0.48,0.57,0.78
geogebra.csv,0.96,0.79,0.62,0.59,0.6,0.58,1.0,0.65,0.63,0.57,0.88,0.46,0.42
hibernate.csv,0.93,0.79,0.79,0.87,0.65,0.78,0.76,0.69,0.68,0.56,0.77,0.5,0.6
lamp.csv,0.69,0.39,0.71,0.58,0.96,0.78,0.97,0.54,0.58,0.6,0.84,0.66,0.71
nodal.csv,0.98,0.86,0.61,0.58,0.84,0.58,0.98,0.87,0.45,0.69,0.82,0.62,0.57
retromenu.csv,0.98,0.64,0.73,0.71,0.26,0.86,0.65,0.86,0.69,0.89,0.79,0.46,0.68
smbopensoft.csv,0.29,0.98,0.95,0.74,0.89,0.67,0.65,0.75,0.63,0.74,0.91,0.76,0.41
stuproa-cims.csv,1.0,0.93,0.67,0.71,0.52,1.0,0.98,0.44,0.72,0.85,0.79,0.59,0.54
thout.csv,0.57,0.88,0.5,0.66,0.73,0.96,1.0,0.92,0.97,0.84,0.96,0.84,0.69
uface.csv,1.0,1.0,0.87,0.57,0.73,0.73,0.98,0.72,0.69,0.61,0.66,0.72,0.08
