,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.68,0.5,0.63,0.5,0.48,0.41,0.37,0.59,0.56,0.56
cities3d.csv,1.0,0.67,0.8,0.68,0.88,0.43,0.64,1.0,0.78,0.59
firebird.csv,0.64,0.53,0.53,0.52,0.59,0.65,0.51,0.86,0.85,0.58
hydrogen.csv,0.65,1.0,1.0,1.0,1.0,1.0,0.23,1.0,1.0,1.0
lphant.csv,0.7,0.64,0.74,0.7,0.76,0.56,0.47,0.64,0.46,0.71
open-ms.csv,0.59,0.46,0.65,0.65,0.83,0.72,0.39,0.6,0.59,0.6
qgo.csv,0.77,0.2,0.83,0.51,0.56,0.87,0.38,0.66,0.94,0.75
rhex.csv,0.3,0.66,0.8,0.73,0.72,0.63,0.48,0.86,0.95,0.67
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,1.0,1.0
yield.csv,0.67,0.69,0.55,0.73,0.36,1.0,0.58,0.81,0.7,0.64
