,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.79,0.62,0.53,0.47,0.51,0.53,0.45,0.32,0.35,0.58
cities3d.csv,0.0,0.38,0.98,0.54,0.92,0.6,0.6,0.0,0.86,0.44
firebird.csv,0.62,0.53,0.44,0.52,0.58,0.33,0.6,0.36,0.34,0.62
hydrogen.csv,0.46,0.37,0.39,0.42,0.44,0.35,0.59,0.75,0.35,0.39
lphant.csv,0.42,0.36,0.46,0.47,0.47,0.54,0.56,0.5,0.45,0.4
open-ms.csv,0.58,0.37,0.36,0.48,0.93,0.35,0.52,0.53,0.59,0.55
qgo.csv,0.37,0.42,0.34,0.4,0.48,0.3,0.44,0.34,0.33,0.4
rhex.csv,0.57,0.35,0.67,0.58,0.73,0.48,0.57,0.6,0.0,0.53
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
yield.csv,0.42,0.4,0.36,0.46,0.47,0.34,0.57,0.38,0.35,0.39
