,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.38,0.55,0.45,0.63,0.57,0.74,0.71,0.73,0.69,0.56
cities3d.csv,0.0,0.63,0.24,0.56,0.16,0.69,0.43,0.0,0.27,0.68
firebird.csv,0.46,0.61,0.58,0.62,0.46,0.68,0.59,0.45,0.47,0.52
hydrogen.csv,0.7,0.0,0.0,0.0,0.0,0.05,0.82,0.0,0.0,0.0
lphant.csv,0.63,0.65,0.57,0.6,0.58,0.71,0.79,0.44,0.62,0.61
open-ms.csv,0.53,0.71,0.63,0.5,0.2,0.6,0.66,0.53,0.49,0.54
qgo.csv,0.57,0.87,0.48,0.66,0.54,0.42,0.74,0.65,0.24,0.58
rhex.csv,0.81,0.6,0.29,0.43,0.34,0.59,0.6,0.23,0.06,0.47
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
yield.csv,0.63,0.63,0.67,0.6,0.72,0.0,0.7,0.54,0.65,0.67
