,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.64,0.92,0.8,0.63,0.62,1.19,0.03,0.35,0.65,0.61,0.67,0.7,0.61,0.4,0.78,0.71,0.72
codepurge.csv,0.64,0.92,0.54,0.81,0.71,1.05,0.77,0.56,0.6,0.59,0.08,0.66,0.64,1.04,0.52,0.65,0.69
crisscross.csv,0.89,0.8,0.1,0.87,0.97,0.08,0.97,0.8,0.91,0.73,0.85,0.78,1.0,0.6,0.93,0.89,0.96
elvishrayrenderer.csv,0.93,0.94,0.64,0.79,0.9,0.68,0.81,0.37,0.85,0.79,0.84,0.74,0.71,0.97,0.0,0.86,0.8
gisgraphy.csv,0.77,0.91,1.0,0.87,0.85,1.0,0.8,1.23,0.96,0.89,0.7,0.85,0.67,1.02,0.78,0.75,0.05
ivataopenportal.csv,0.59,0.56,0.83,0.7,0.04,1.02,0.64,1.22,0.63,0.42,0.58,0.75,0.57,1.16,0.68,0.74,0.61
lite.csv,0.85,1.0,0.33,0.87,0.89,1.03,0.84,0.82,0.64,0.07,0.88,0.61,0.8,1.03,0.74,0.7,0.74
mb-unit.csv,0.93,0.77,0.58,0.04,0.79,0.63,0.91,1.01,0.61,0.54,0.61,0.51,0.64,0.89,0.75,0.5,0.91
nova.csv,0.63,0.05,0.67,0.69,0.82,0.68,0.57,0.29,0.68,0.76,0.65,0.74,0.47,0.37,0.64,0.54,0.82
olex2.csv,0.55,0.93,0.6,0.6,0.62,1.09,0.71,0.46,0.65,0.69,0.88,0.02,0.63,1.17,0.63,0.5,0.99
openwbem.csv,0.08,0.99,0.58,0.69,0.71,1.08,0.77,0.48,0.57,0.55,0.69,0.64,0.8,1.09,0.78,0.74,0.81
stajistics.csv,0.73,0.93,0.86,0.77,0.73,1.06,0.74,0.78,0.58,0.59,0.85,0.8,0.13,1.1,0.6,0.79,0.73
uwom.csv,0.69,0.85,0.7,0.69,0.72,0.75,0.73,1.01,0.75,0.9,0.71,0.85,0.77,1.36,0.65,0.06,0.57
xcmetadataservicestoolkit.csv,0.68,0.76,0.63,0.63,0.69,0.58,0.61,1.15,0.0,0.88,0.62,0.58,0.86,0.95,0.78,0.81,0.92
