,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.48,0.5,0.62,0.49,0.6,0.39,0.44,0.38,0.36,0.54,0.52,0.46,0.49,0.55,0.38,0.41,0.44
codepurge.csv,0.55,0.0,0.68,0.78,0.52,0.56,0.65,0.42,0.43,0.43,0.95,0.65,0.74,0.68,0.38,0.52,0.43
crisscross.csv,0.98,0.92,0.89,0.99,0.88,0.83,0.75,0.97,0.83,0.8,0.96,0.92,0.0,0.38,0.83,0.98,0.83
elvishrayrenderer.csv,0.53,0.6,0.54,0.51,0.5,0.46,0.56,0.48,0.52,0.49,0.51,0.46,0.55,0.29,0.44,0.48,0.46
gisgraphy.csv,0.84,0.54,0.86,0.6,0.97,0.8,0.98,0.76,0.91,0.48,0.6,0.79,0.55,0.91,0.75,0.96,0.76
ivataopenportal.csv,0.61,0.67,0.71,0.52,0.57,0.91,0.47,0.81,0.47,0.52,0.55,0.39,0.42,0.4,0.56,0.49,0.43
lite.csv,0.98,0.0,0.5,0.98,0.84,0.79,0.82,0.91,0.47,0.64,0.8,0.58,0.9,0.68,0.73,0.81,0.77
mb-unit.csv,0.5,0.83,0.55,0.45,0.41,0.42,0.4,0.41,0.36,0.89,0.67,0.4,0.43,0.29,0.44,0.55,0.41
nova.csv,0.55,0.67,0.57,0.58,0.49,0.41,0.49,0.47,0.45,0.38,0.59,0.44,0.49,0.62,0.36,0.55,0.31
olex2.csv,0.51,0.75,0.68,0.54,0.45,0.46,0.54,0.4,0.42,0.45,0.95,0.52,0.48,0.37,0.44,0.58,0.31
openwbem.csv,0.63,0.5,0.62,0.58,0.55,0.5,0.65,0.63,0.5,0.51,0.54,0.53,0.67,0.59,0.6,0.56,0.43
stajistics.csv,0.69,0.83,0.91,0.69,0.67,0.62,0.62,0.98,0.45,0.37,0.92,0.96,0.62,0.5,0.68,0.59,0.39
uwom.csv,0.62,0.73,0.66,0.59,0.78,0.42,0.63,0.42,0.45,0.45,0.72,0.92,0.56,0.28,0.43,0.81,0.56
xcmetadataservicestoolkit.csv,0.68,0.72,0.59,0.58,0.49,0.49,0.52,0.75,0.4,0.86,0.76,0.43,0.79,0.28,0.75,0.63,0.43
