,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.41,0.6,0.22,0.56,0.69,0.29,0.81,0.53,0.29,0.67,0.63,0.62,0.69,0.66
autowikibrowser.csv,0.49,0.52,0.5,0.55,0.73,0.16,0.76,0.69,0.32,0.55,0.65,0.69,0.74,0.62
cities3d.csv,0.31,0.07,0.21,0.48,0.38,0.29,0.01,0.5,0.0,0.33,0.33,0.59,0.08,0.04
kmatplot.csv,0.56,0.18,0.77,0.5,0.48,0.23,0.4,0.45,0.0,0.44,0.55,0.46,0.15,0.53
libarchive.csv,0.38,0.58,0.79,0.54,0.71,0.19,0.83,0.73,0.38,0.55,0.57,0.68,0.73,0.65
lphant.csv,0.48,0.56,0.66,0.54,0.69,0.25,0.73,0.68,0.27,0.55,0.62,0.71,0.68,0.64
mob-sen-plat.csv,0.38,0.49,0.83,0.52,0.66,0.35,0.72,0.72,0.29,0.6,0.56,0.42,0.59,0.58
mscore.csv,0.34,0.53,0.81,0.54,0.74,0.27,0.76,0.72,0.34,0.67,0.55,0.64,0.65,0.6
pidgin.csv,0.3,0.52,0.56,0.53,0.66,0.2,0.77,0.68,0.34,0.64,0.52,0.52,0.55,0.57
quickfast.csv,0.34,0.54,0.75,0.45,0.52,0.14,0.82,0.72,0.38,0.47,0.58,0.59,0.78,0.62
raygina.csv,0.4,0.65,0.0,0.42,0.42,0.18,0.64,0.68,0.21,0.55,0.59,0.63,0.45,0.59
riff-evolve.csv,0.43,0.45,0.17,0.56,0.67,0.3,0.72,0.55,0.21,0.7,0.62,0.6,0.67,0.5
upp-mirror.csv,0.3,0.36,0.36,0.45,0.75,0.08,0.47,0.59,0.18,0.49,0.26,0.5,0.52,0.32
wishmaster.csv,0.38,0.34,0.15,0.42,0.62,0.17,0.32,0.6,0.54,0.33,0.57,0.5,0.57,0.19
