,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.11,0.2,0.21,0.25,0.29,0.96,0.33
clamav.csv,0.64,0.37,0.28,0.58,0.99,0.77,0.56
k3b.csv,0.47,0.72,0.48,0.98,0.63,0.76,0.89
kindb.csv,0.31,0.48,0.21,0.66,0.35,0.77,0.98
pclasses.csv,1.0,0.2,0.0,0.14,0.0,0.29,0.18
re2c.csv,0.21,1.0,0.21,0.37,0.29,0.14,0.25
thrust.csv,0.0,0.54,0.9,0.35,0.29,0.51,0.37
