,id,count_recall,count_precision,count_pf,cdom_score,bellwether
57,2,1,1,2,1,mclient-mume.csv
52,3,1,5,8,8,jahshaka.csv
50,4,3,3,8,11,beast-mcmc.csv
58,5,1,1,2,1,azureus.csv
24,6,1,7,12,12,jpaul.csv
19,7,1,7,10,11,jmoney.csv
28,8,1,5,12,11,jas.csv
17,9,3,4,5,7,gephex.csv
18,11,1,1,1,0,atunes.csv
53,12,1,2,4,3,emftriple.csv
59,14,1,4,5,4,bdbbasic.csv
51,15,1,2,2,2,jhotdraw.csv
21,16,1,1,3,2,tradelink.csv
26,17,2,4,4,5,playerstage.csv
16,18,1,6,12,13,cortex-vfx.csv
27,19,1,3,3,3,quarkplusplus.csv
15,20,1,7,11,11,openmeetings.csv
29,21,1,6,10,9,foursquared.csv
60,22,3,4,8,11,les-indemodables.csv
49,23,3,6,16,18,gogoego.csv
25,28,2,1,3,4,encog-java.csv
20,29,1,5,10,9,lamp.csv
39,30,2,2,2,2,exordium.csv
34,31,1,8,16,15,wishmaster.csv
6,32,1,11,18,17,retromenu.csv
14,33,1,5,8,8,galaxium.csv
7,35,1,9,13,12,quark.csv
33,36,1,5,6,9,upp-mirror.csv
40,37,1,4,9,12,rosegarden.csv
32,38,2,12,20,19,novembre.csv
41,39,8,6,5,10,olap-navigator.csv
55,40,2,6,12,11,k3d.csv
46,41,3,4,9,9,qgo.csv
22,42,2,2,6,7,geochat.csv
31,43,1,7,13,12,xbplayer.csv
30,44,1,5,7,6,genoviz.csv
23,45,1,7,14,13,maidsafe-dht.csv
45,46,1,5,10,9,liferea.csv
56,47,1,4,8,7,rocrail.csv
47,48,1,1,5,5,fmri-dmt.csv
54,49,1,3,7,6,m-a-d-n-e-s-s.csv
3,50,1,4,14,14,kmatplot.csv
10,51,1,12,18,18,qse.csv
38,53,1,1,1,0,xcf.csv
37,54,1,4,10,8,ltp.csv
42,55,2,7,13,13,pfaedit.csv
9,56,3,3,1,2,openintents.csv
5,57,1,5,20,18,gtad.csv
11,58,1,5,11,10,qedo.csv
1,59,1,1,1,1,mpqc.csv
13,60,2,9,19,17,geotools.csv
0,61,1,5,9,9,migen.csv
36,62,1,1,1,0,silvertree.csv
43,63,1,8,20,19,adobe-source.csv
44,64,1,5,6,9,pdfedit.csv
35,65,3,5,5,6,gwanted.csv
2,66,2,5,13,13,bibedt.csv
12,67,1,7,9,10,alembik.csv
4,68,2,9,12,19,uwom-server.csv
8,69,2,7,12,13,kolmafia.csv
48,70,1,3,6,5,crisscross.csv
