,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.28,0.37,0.56,0.34,0.3,0.49,0.1,0.3,0.67,0.23,0.38,0.13
ctrlr.csv,0.35,0.0,0.0,0.54,0.22,0.02,0.32,0.27,0.33,0.3,0.27,0.43
dvt.csv,0.59,0.92,0.1,0.27,0.68,0.1,0.44,0.57,0.5,0.51,0.32,0.13
flylinkdc.csv,0.23,0.92,0.72,0.92,0.43,0.62,0.53,0.38,0.67,0.47,0.46,0.9
free-evolution.csv,0.96,1.0,0.97,0.46,0.51,0.44,0.19,0.59,0.83,0.39,0.35,0.37
fw4spl.csv,0.37,0.2,0.23,0.29,0.24,0.24,0.36,0.43,0.17,0.44,0.17,0.13
ipfire-wall.csv,0.22,0.37,0.54,0.19,0.08,0.12,0.37,0.27,0.5,0.05,0.03,0.2
ldview.csv,0.96,1.0,0.87,0.63,0.27,0.34,0.08,0.89,0.83,0.14,0.36,0.4
nuttx.csv,0.24,0.06,0.54,0.18,0.35,0.3,0.1,0.57,0.5,0.43,0.4,0.5
uclmda.csv,0.35,0.01,0.1,0.05,0.46,0.16,0.1,0.46,0.0,0.2,0.12,0.07
vdsf.csv,0.83,0.11,0.95,0.78,0.62,0.52,0.83,0.92,0.5,0.78,0.9,0.93
xcf.csv,0.6,0.36,0.44,0.36,0.27,0.36,0.31,0.81,0.83,0.29,0.27,0.33
