,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.53,1.0,0.46,0.44,0.25,0.58,0.6,0.83,0.73,0.18,1.0,0.47,0.77,0.12,0.5,0.6,0.0,0.77,1.0
badtrinity-zero.csv,0.32,0.06,0.62,0.71,0.65,0.82,0.96,1.0,0.79,0.27,0.01,0.73,0.67,0.2,0.5,0.88,0.81,0.16,0.95
boost.csv,0.41,0.47,0.85,0.54,0.45,0.54,0.49,0.25,0.69,0.55,0.58,0.56,0.8,0.42,0.67,0.46,0.43,0.44,0.73
critterding.csv,0.61,0.62,1.0,0.84,0.9,0.78,0.87,0.83,0.69,0.91,0.67,0.73,0.93,0.85,1.0,0.91,0.62,0.88,0.86
enzo.csv,0.75,0.59,0.77,0.85,0.95,0.63,0.83,0.83,0.91,0.64,0.75,0.89,0.63,0.82,1.0,0.84,0.87,0.75,0.81
etics.csv,0.41,0.59,0.77,0.37,0.15,0.49,0.62,0.42,0.37,0.55,0.57,0.53,0.87,0.39,0.33,0.42,0.51,0.18,0.72
fmri-dmt.csv,0.54,0.56,0.69,0.65,0.2,0.67,0.26,0.33,0.77,1.0,0.64,0.58,0.33,0.81,1.0,0.53,0.75,0.77,0.44
gusanos.csv,0.4,0.82,0.69,0.29,0.3,0.32,0.79,0.17,0.77,0.0,0.79,0.15,0.53,0.0,0.67,0.47,0.0,0.06,0.74
kftpgrabber.csv,0.03,0.44,0.15,0.27,0.1,0.28,0.57,0.25,0.36,0.27,0.57,0.35,0.83,0.09,0.33,0.33,0.0,0.1,0.87
kvs.csv,0.46,0.29,0.62,0.37,0.75,0.33,0.34,0.17,0.37,0.18,0.33,0.4,0.17,0.57,0.83,0.3,0.0,0.68,0.37
miranda.csv,0.0,0.0,0.38,0.44,0.5,0.47,0.83,0.75,0.61,0.09,0.0,0.45,0.53,0.0,0.33,0.82,1.0,0.04,0.73
modplug.csv,0.59,0.65,0.69,0.63,0.85,0.7,0.91,0.92,0.67,0.91,0.63,0.75,0.97,0.31,0.5,0.86,0.53,0.46,0.81
monetdb.csv,0.35,0.32,0.08,0.3,0.0,0.14,0.66,0.25,0.39,0.27,0.31,0.4,0.6,0.07,0.17,0.44,0.17,0.14,0.4
nativeclient.csv,0.73,0.41,0.69,0.63,0.85,0.77,0.83,0.92,0.61,0.73,0.42,0.71,0.73,0.46,0.67,0.81,0.72,0.63,0.79
ogrehg.csv,0.24,0.56,0.54,0.48,0.2,0.69,0.87,0.75,0.47,0.73,0.7,0.78,0.8,0.95,0.83,0.54,0.08,0.19,0.96
passwordsafe.csv,0.49,0.38,0.92,0.71,0.45,0.84,0.81,0.67,0.94,0.64,0.45,0.78,1.0,0.14,0.5,0.72,1.0,0.23,0.86
quarkplayer.csv,0.42,0.26,0.54,0.33,0.25,0.33,0.15,0.17,0.46,0.82,0.24,0.11,0.33,0.45,0.5,0.25,0.32,0.41,0.3
reactos-mirror.csv,0.64,0.68,1.0,0.58,0.5,0.8,0.77,0.67,0.64,0.91,0.76,0.75,0.9,0.66,0.67,0.68,1.0,0.7,1.0
sandiaportals.csv,0.52,0.71,0.85,0.51,0.1,0.7,0.7,0.58,0.48,0.73,0.75,0.53,0.83,0.34,0.33,0.65,0.77,0.46,0.78
