,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.73,1.0,0.56,0.68,0.75,0.53,0.53,0.31,0.85,0.86,1.0,0.53,0.35,0.89,0.82,0.49,1.0,0.52,1.0
badtrinity-zero.csv,0.69,0.94,0.48,0.52,0.86,0.61,0.85,0.99,0.61,0.76,0.99,0.76,0.67,0.83,0.58,0.68,0.53,0.84,0.76
boost.csv,0.65,0.69,0.39,0.58,0.73,0.56,0.57,0.79,0.46,0.69,0.48,0.73,0.49,0.61,0.55,0.62,0.57,0.63,0.6
critterding.csv,0.67,0.48,0.98,0.87,0.94,0.8,0.92,0.92,0.65,0.87,0.73,0.53,0.91,0.58,0.98,0.86,0.58,0.85,0.86
enzo.csv,0.84,0.72,0.47,0.89,0.91,0.6,0.89,0.85,0.93,0.71,0.52,0.84,0.62,0.33,0.85,0.72,0.9,0.72,0.76
etics.csv,0.6,0.51,0.3,0.64,0.86,0.53,0.51,0.63,0.65,0.58,0.47,0.48,0.5,0.63,0.76,0.58,0.49,0.82,0.58
fmri-dmt.csv,0.73,0.88,0.73,0.86,0.96,0.82,0.88,0.95,0.87,0.79,0.84,1.05,1.0,0.98,0.26,0.9,0.76,0.84,0.73
gusanos.csv,0.75,0.78,0.42,0.73,0.7,0.73,0.64,0.84,0.82,1.0,0.35,0.88,0.49,1.0,0.57,0.61,1.0,0.94,0.67
kftpgrabber.csv,0.97,0.63,0.85,0.75,0.9,0.73,0.51,0.75,0.67,0.77,0.48,0.65,0.28,0.91,0.85,0.67,1.0,0.9,0.83
kvs.csv,0.65,0.76,0.49,0.66,0.32,0.73,0.67,0.86,0.68,0.84,0.73,0.61,0.83,0.45,0.81,0.75,1.01,0.7,0.73
miranda.csv,1.0,1.0,0.63,0.6,0.77,0.61,0.57,0.75,0.71,0.91,1.0,0.74,0.55,1.0,0.67,0.6,1.0,0.96,0.44
modplug.csv,0.69,0.53,0.76,0.67,0.67,0.6,0.66,0.76,0.68,0.92,0.44,0.39,0.69,0.7,0.87,0.69,0.48,0.63,0.79
monetdb.csv,0.71,0.69,0.92,0.71,1.0,0.86,0.41,0.77,0.71,0.8,0.69,0.6,0.49,0.93,0.84,0.58,0.83,0.86,0.69
nativeclient.csv,0.67,0.69,0.44,0.57,0.52,0.47,0.64,0.7,0.58,0.75,0.62,0.32,0.43,0.59,0.64,0.57,0.4,0.46,0.62
ogrehg.csv,0.77,0.53,0.54,0.63,0.82,0.44,0.63,0.49,0.61,0.61,0.43,0.78,0.6,0.88,0.62,0.49,0.92,0.82,0.92
passwordsafe.csv,0.55,0.62,0.84,0.62,0.78,0.64,0.65,0.85,0.91,0.45,0.6,0.36,0.84,0.86,0.77,0.38,0.83,0.77,0.79
quarkplayer.csv,0.63,0.75,0.95,0.75,0.89,0.79,0.87,0.85,0.61,0.4,0.96,0.89,0.76,0.97,0.63,0.76,0.7,0.69,0.77
reactos-mirror.csv,0.45,0.61,0.98,0.61,0.77,0.74,0.52,0.63,0.53,0.7,0.8,0.52,0.61,0.8,0.7,0.48,1.0,0.59,0.99
sandiaportals.csv,0.64,0.68,0.85,0.61,0.91,0.55,0.54,0.54,0.61,0.66,0.73,0.48,0.74,0.95,0.73,0.4,0.32,0.58,0.65
