,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.75,0.29,0.52,0.35,0.17,0.83,0.97,0.23,0.06,0.38,0.19,0.9
gamestone.csv,0.9,1.0,0.69,0.29,0.27,1.0,0.8,0.53,0.02,0.44,0.11,1.0
gbif-providertoolkit.csv,0.83,0.0,0.92,0.5,1.0,0.79,0.42,0.44,0.11,0.6,0.24,1.0
heekscad.csv,0.99,0.22,0.62,0.37,0.23,0.77,0.54,0.3,0.06,0.44,0.19,0.94
igarden.csv,0.81,0.19,0.68,1.0,0.21,0.7,0.38,0.26,0.05,0.35,0.18,0.93
levent.csv,0.71,0.23,0.58,0.39,0.26,1.0,0.4,0.18,0.08,0.43,0.18,0.86
lportal.csv,0.45,0.15,0.53,0.21,0.05,0.61,0.27,0.16,0.99,0.37,0.18,0.76
openmsx.csv,0.76,0.1,0.52,0.37,0.18,0.72,0.29,0.15,0.05,1.0,0.21,0.81
owlapi.csv,1.0,0.0,1.0,0.5,0.5,1.0,0.2,1.0,0.07,0.33,0.29,1.0
pnotepad.csv,0.67,0.16,0.47,0.3,0.18,0.73,0.38,0.16,0.05,0.39,0.21,1.0
quark.csv,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,1.0,0.0
xcsoar.csv,0.8,0.18,0.96,0.4,0.24,0.79,0.41,0.31,0.07,0.41,0.22,0.95
