,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.28,0.1,0.39,0.46,0.67,0.17,0.01,0.43,0.39,0.43,0.85,0.2
gamestone.csv,0.02,0.0,0.06,0.07,0.12,0.0,0.01,0.05,0.09,0.11,0.33,0.0
gbif-providertoolkit.csv,0.06,0.04,0.01,0.04,0.0,0.13,0.09,0.11,0.19,0.04,0.25,0.0
heekscad.csv,0.02,0.35,0.3,0.56,0.4,0.22,0.18,0.24,0.37,0.48,0.4,0.2
igarden.csv,0.26,0.4,0.18,0.0,0.45,0.74,0.39,0.2,0.28,0.39,0.88,0.2
levent.csv,0.32,0.19,0.3,0.28,0.3,0.0,0.54,0.27,0.2,0.21,0.27,0.3
lportal.csv,0.23,0.67,0.28,0.42,0.27,0.48,0.72,0.44,0.0,0.59,0.44,0.9
openmsx.csv,0.3,0.52,0.32,0.47,0.48,0.48,0.54,0.85,0.82,0.0,0.79,0.4
owlapi.csv,0.0,0.0,0.0,0.01,0.03,0.0,0.05,0.0,0.07,0.02,0.1,0.0
pnotepad.csv,0.79,0.71,0.89,1.0,0.73,0.74,0.74,0.77,0.76,0.81,0.81,0.0
quark.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0
xcsoar.csv,0.3,0.35,0.03,0.29,0.48,0.22,0.43,0.31,0.41,0.47,0.88,0.1
