,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.59,0.86,0.5,0.47,0.48,0.58,0.62,0.51,0.51,0.58,0.37,0.62
gamestone.csv,0.9,0.88,0.92,0.86,0.91,0.5,0.8,0.93,1.0,0.94,0.68,0.86
gbif-providertoolkit.csv,0.89,0.5,0.92,0.83,0.92,0.64,0.92,0.76,0.74,0.9,0.71,0.75
heekscad.csv,0.44,0.52,0.41,0.38,0.46,0.55,0.64,0.55,0.49,0.46,0.54,0.39
igarden.csv,0.51,0.58,0.56,0.71,0.58,0.53,0.6,0.77,0.76,0.6,0.39,0.54
levent.csv,0.58,0.92,0.48,0.58,0.48,0.52,0.45,0.61,0.72,0.77,0.65,0.62
lportal.csv,0.95,0.59,0.79,0.74,0.95,0.86,0.55,0.67,0.99,0.63,0.57,0.59
openmsx.csv,0.49,0.53,0.56,0.5,0.69,0.67,0.62,0.56,0.46,0.7,0.42,0.67
owlapi.csv,0.86,0.0,0.75,0.5,0.75,0.0,0.8,0.96,1.0,0.67,0.86,0.5
pnotepad.csv,0.46,0.41,0.37,0.31,0.33,0.42,0.35,0.47,0.39,0.39,0.34,0.4
quark.csv,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.8,0.99,0.0,0.85,0.0
xcsoar.csv,0.39,0.5,0.46,0.54,0.38,0.5,0.41,0.48,0.47,0.45,0.34,0.59
