,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.03
codeblocks.csv,0.8,0.72,0.94,0.79,0.64,1.0,0.93,0.74,0.87,1.0,0.91,0.95,0.4,1.0,0.9,0.99,0.87,0.67
grisbi.csv,1.0,0.9,1.0,1.0,0.95,1.0,0.29,0.98,0.96,0.69,0.84,0.92,1.0,0.88,1.0,0.96,0.85,0.97
libmesh.csv,0.02,0.05,0.13,0.07,0.09,0.27,0.71,0.28,0.15,0.73,0.12,0.16,0.6,0.12,0.11,0.0,0.04,0.28
mesa3d.csv,0.15,0.13,0.1,0.1,0.0,0.14,0.0,0.34,0.35,0.01,0.06,0.15,0.0,0.52,0.06,0.06,0.09,0.04
panda3d.csv,0.08,0.23,0.32,0.34,0.19,0.3,0.0,0.01,0.07,0.23,0.27,0.12,0.4,1.0,0.21,0.0,0.07,0.3
proftp.csv,0.25,0.23,0.32,0.07,0.15,0.27,0.07,0.13,0.57,0.11,0.29,0.17,0.2,0.08,0.05,0.02,0.35,0.13
qmmp.csv,0.38,0.28,0.55,0.62,0.59,0.54,0.5,0.75,0.74,0.88,0.63,0.39,0.6,0.6,0.23,0.77,0.65,0.88
red5.csv,0.92,0.77,0.74,0.48,0.89,0.76,0.86,0.64,0.7,0.96,0.96,0.9,0.8,1.0,0.47,1.0,0.85,0.86
skia.csv,0.02,0.0,0.42,0.45,0.15,0.14,0.0,0.0,0.37,0.01,0.07,0.14,0.0,0.12,0.05,0.16,0.15,0.39
soar.csv,0.75,0.97,0.81,0.83,0.95,0.95,1.0,0.68,1.0,0.93,0.98,0.92,0.8,0.32,0.94,1.0,0.91,0.71
super-tux.csv,0.82,0.97,0.61,0.72,0.88,1.0,1.0,0.91,0.85,0.99,0.93,0.9,0.8,0.56,0.94,0.94,0.96,0.67
t-2.csv,0.35,0.13,0.03,0.1,0.35,0.22,0.57,0.03,0.04,0.88,0.49,0.27,0.2,0.48,0.11,0.01,0.11,0.16
tart.csv,0.05,0.03,0.13,0.41,0.15,0.22,0.29,0.04,0.33,0.35,0.04,0.04,0.0,0.28,0.15,0.09,0.15,0.47
tcvp.csv,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.05
tencompetence.csv,0.35,0.21,0.35,0.45,0.55,0.32,0.07,0.78,0.87,0.0,0.42,0.68,0.6,0.72,0.55,0.67,0.39,0.35
utgb.csv,0.32,0.41,0.29,0.1,0.32,0.49,0.07,0.1,0.37,0.34,0.4,0.31,0.0,0.6,0.23,0.38,0.61,0.39
xbrlapi.csv,0.52,0.03,0.97,0.86,0.34,0.14,0.07,0.48,0.48,0.0,0.33,0.33,0.2,0.96,0.15,0.02,0.22,0.43
