,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv,
bulmages.csv,0,0,0.2,0,0,0,0,0.03,0,0,0,0,0,0.52,0,0,0,0.17,0
codeblocks.csv,0.63,0.86,0.64,0.75,0.38,0.62,0.91,0.23,0.57,0.2,0.11,0.48,0.95,0.71,0.61,0.32,0.52,0.53,9
grisbi.csv,0.66,0.79,0.68,0.73,0.34,0.62,0.93,0.21,0.49,0.21,0.12,0.49,0.97,0.69,0.67,0.36,0.52,0.79,10
libmesh.csv,0.13,0.05,0.27,0.04,0.07,0.05,0.35,0.07,0.43,0.15,0.12,0.17,0.46,0.06,0.13,0,0,0.05,0
mesa3d.csv,0.25,0.33,0.1,0.08,0,0.63,0.33,0.05,0.29,0,0,0.34,0.38,0.48,0.09,0.33,0.2,0.12,1
panda3d.csv,0.04,0.33,0.47,0.26,0.29,0.26,0.52,0,0.07,0.14,0.07,0.35,0.43,0.71,0.5,0.08,0.07,0.41,1
proftp.csv,0.45,0.43,0.42,0.16,0.11,0.64,0.39,0.26,0.49,0.11,0,0.19,0.3,0.47,0.14,0.08,0.47,0.05,1
qmmp.csv,0.57,0.62,0.51,0.67,0.34,0.44,0.81,0.19,0.48,0.2,0.09,0.42,0.86,0.54,0.71,0.28,0.34,0.54,5
red5.csv,0.65,0.79,0.67,0.73,0.3,0.62,0.73,0.29,0.57,0.2,0.11,0.41,0.95,0.68,0.61,0.35,0.49,0.74,10
skia.csv,0.31,0.05,0.55,0.49,0.39,0.48,0.33,0,0.28,0.18,0,0.23,0.08,0.21,0.19,0.34,0.33,0.32,0
soar.csv,0.6,0.82,0.59,0.71,0.34,0.63,0.84,0.12,0.53,0.21,0.1,0.46,0.9,0.72,0.61,0.35,0.47,0.76,9
super-tux.csv,0.57,0.86,0.73,0.75,0.38,0.62,0.81,0.23,0.52,0.2,0.11,0.49,0.98,0.55,0.63,0.34,0.51,0.61,8
t-2.csv,0.25,0.55,0.24,0.08,0.31,0.31,0.75,0.46,0.07,0.22,0.15,0.21,0.38,0.54,0.27,0.03,0.13,0.04,1
tart.csv,0.2,0.03,0.27,0.45,0.35,0.23,0.37,0.06,0.29,0.11,0,0.04,0.06,0.1,0.24,0.12,0.24,0.24,0
tcvp.csv,0.05,0.03,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
tencompetence.csv,0.47,0.37,0.41,0.28,0.24,0.32,0.32,0.13,0.52,0,0.05,0.42,0.77,0.64,0.34,0.32,0.48,0.86,3
utgb.csv,0.33,0.64,0.65,0.12,0.38,0.7,0.62,0.12,0.21,0.16,0.18,0.47,0.61,0.58,0.38,0.33,0.43,0.42,5
xbrlapi.csv,0.63,0.25,0.62,0.64,0.43,0.6,0.82,0.21,0.32,0,0.16,0.39,0.12,0.69,0.33,0,0.39,0.47,6
