,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.1
codeblocks.csv,0.81,0.93,0.86,0.93,0.81,1.0,1.0,0.81,1.0,1.0,1.0,0.98,0.93,1.0,0.83,0.9,0.96,0.49
grisbi.csv,0.95,0.85,0.97,0.95,0.95,1.0,0.92,0.96,0.88,0.78,1.0,1.0,0.99,0.9,1.0,0.99,0.96,1.0
libmesh.csv,0.07,0.03,0.17,0.02,0.05,0.03,0.24,0.11,0.35,0.56,0.2,0.12,0.31,0.03,0.08,0.0,0.0,0.03
mesa3d.csv,0.17,0.21,0.06,0.05,0.0,0.53,0.2,0.09,0.27,0.0,0.0,0.27,0.24,0.45,0.05,0.25,0.13,0.07
panda3d.csv,0.02,0.22,0.4,0.19,0.29,0.2,0.35,0.0,0.04,0.22,0.2,0.27,0.28,1.0,0.4,0.04,0.04,0.3
proftp.csv,0.36,0.29,0.34,0.09,0.1,0.63,0.24,0.29,0.65,0.11,0.0,0.15,0.18,0.32,0.08,0.04,0.52,0.03
qmmp.csv,0.55,0.49,0.51,0.72,0.67,0.47,0.76,0.69,0.73,0.89,0.6,0.5,0.78,0.55,0.67,0.62,0.48,0.55
red5.csv,0.9,0.83,0.83,0.77,0.76,0.87,0.68,0.95,0.88,1.0,1.0,0.77,0.95,0.94,0.63,1.0,0.87,0.87
skia.csv,0.19,0.03,0.51,0.42,0.38,0.37,0.2,0.0,0.27,0.11,0.0,0.17,0.04,0.13,0.11,0.32,0.26,0.23
soar.csv,0.74,0.93,0.71,0.86,0.95,1.0,0.88,0.37,1.0,1.0,1.0,0.92,0.86,0.71,0.84,0.99,0.87,0.85
super-tux.csv,0.71,0.99,0.89,0.88,1.0,1.0,0.83,1.0,0.88,1.0,1.0,0.98,1.0,0.55,0.89,0.91,1.0,0.6
t-2.csv,0.19,0.4,0.14,0.05,0.43,0.23,0.67,0.37,0.04,1.0,0.8,0.19,0.24,0.52,0.17,0.01,0.09,0.02
tart.csv,0.12,0.02,0.17,0.37,0.33,0.17,0.24,0.04,0.27,0.22,0.0,0.02,0.03,0.06,0.16,0.09,0.17,0.17
tcvp.csv,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tencompetence.csv,0.4,0.24,0.34,0.21,0.43,0.27,0.2,0.44,0.88,0.0,0.2,0.67,0.65,0.74,0.32,0.65,0.57,0.89
utgb.csv,0.26,0.53,0.6,0.07,0.52,0.87,0.45,0.11,0.19,0.33,0.8,0.52,0.44,0.61,0.29,0.48,0.61,0.32
xbrlapi.csv,0.69,0.15,0.83,0.74,0.62,0.5,0.71,0.51,0.35,0.0,0.6,0.42,0.06,0.94,0.22,0.0,0.35,0.38
