,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.73,0.99,0.39,0.91,0.9,0.58,0.88,0.67,0.6,0.72,0.46,0.69,0.74
flylinkdc.csv,0.34,0.91,0.92,0.9,0.85,0.9,0.25,0.84,0.58,0.64,0.6,0.94,0.61
fw4spl.csv,0.68,0.79,0.72,0.62,0.49,0.85,0.53,0.73,0.68,0.67,0.78,0.68,0.71
grisbi.csv,0.67,1.0,0.81,0.81,0.98,0.76,0.21,0.76,0.7,0.77,0.82,0.68,0.81
mesa3d.csv,0.71,0.72,0.63,0.67,0.76,0.62,0.52,0.91,0.64,0.7,0.66,0.52,0.59
nuttx.csv,0.51,0.47,0.92,0.76,0.66,0.53,0.82,0.74,0.59,0.63,0.75,0.84,0.72
panda3d.csv,0.85,0.79,0.75,0.65,0.69,0.63,0.42,0.56,0.75,0.55,0.62,0.69,0.71
proftp.csv,0.71,0.89,0.87,0.78,0.94,0.38,0.74,1.0,1.01,0.77,0.97,0.8,0.59
qmmp.csv,0.6,0.74,0.63,0.81,0.86,0.6,0.44,0.96,0.76,0.73,0.39,0.83,0.8
skia.csv,0.47,0.84,0.75,0.67,0.63,0.4,0.46,1.0,0.62,0.64,0.69,0.59,0.4
tart.csv,0.63,0.93,0.83,0.71,0.71,0.86,0.51,0.92,0.26,0.69,0.66,0.84,0.67
tcvp.csv,0.98,0.99,0.98,1.0,0.9,1.0,0.98,0.34,1.01,1.0,1.0,1.0,0.99
utgb.csv,0.66,0.76,0.77,0.41,0.82,0.77,0.64,0.71,0.74,0.72,0.78,0.78,0.74
