,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.0,0.0,0.28,0.31,0.37,0.02,0.38,0.29
aztec.csv,0.0,0.19,0.64,0.66,0.67,0.0,0.79,0.67
jbpm.csv,0.0,0.0,0.0,0.01,0.47,0.09,0.12,0.06
mediate.csv,0.14,0.16,0.2,0.14,0.0,0.39,0.17,0.27
mycila.csv,0.14,0.13,0.11,0.11,0.0,0.0,0.0,0.07
neodatis-odb.csv,0.43,0.74,0.47,0.01,0.43,0.8,0.26,0.51
nsis.csv,0.14,0.87,0.97,0.56,0.8,0.97,0.98,0.76
rodin-b-sharp.csv,0.29,0.0,0.16,0.04,0.43,0.58,0.07,0.0
