,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.54,0.89,0.49,0.94,0.42,0.59,1.0,0.52,0.19,0.44,0.11,0.88,0.65
ivef-sdk.csv,0.63,0.94,0.49,0.67,0.36,1.0,0.27,0.0,0.27,0.45,0.0,0.88,0.44
jmri.csv,0.62,0.87,1.0,0.66,0.32,0.6,0.42,0.23,0.32,0.42,0.12,0.93,0.5
jython.csv,0.69,0.89,0.51,0.71,0.34,0.95,0.51,1.0,0.33,0.53,0.25,0.93,0.61
kdenlive.csv,1.0,0.9,0.49,0.4,0.33,0.62,0.43,0.12,0.26,0.49,0.13,0.93,0.58
opentibia.csv,0.68,0.99,0.48,0.59,0.31,0.87,0.57,0.12,0.27,0.52,0.14,0.92,0.69
projectfactory.csv,0.56,0.87,0.51,0.68,0.33,0.78,0.47,0.28,0.3,0.97,0.08,0.95,0.55
runuomondains.csv,0.5,0.71,0.67,0.38,0.0,1.0,0.0,0.5,0.67,1.0,1.0,1.0,0.0
somap.csv,0.65,0.87,0.48,0.6,0.42,0.69,0.49,0.13,0.26,0.49,0.12,1.0,0.72
taverna.csv,0.53,0.82,0.4,0.58,1.0,0.19,1.0,0.2,0.55,0.47,0.07,0.95,0.65
tigermud.csv,0.55,0.85,0.4,0.47,0.4,0.73,0.62,0.11,0.2,0.49,0.15,0.91,0.97
unbvision.csv,0.73,0.89,0.48,0.36,0.35,0.72,0.35,0.18,1.0,0.59,0.15,0.98,0.52
x-ray-mule.csv,0.67,0.93,0.45,1.0,0.33,1.0,0.51,0.0,0.19,0.35,0.08,0.89,0.48
