,brlcad.csv,ogre.csv,autat.csv,mimosa.csv,google-web-toolkit.csv,ftm.csv,jcache.csv
autat.csv,0.0,1.0,0.8,0.06,0.69,0.69,0.5
brlcad.csv,0.49,1.0,0.29,0.46,0.61,0.5,0.67
ftm.csv,0.26,0.98,0.22,0.48,0.59,0.6,0.67
google-web-toolkit.csv,0.17,0.91,0.21,0.48,0.65,0.59,0.44
jcache.csv,0.31,0.96,0.26,0.53,0.59,0.52,0.74
mimosa.csv,0.28,0.98,0.2,0.79,0.57,0.46,0.74
ogre.csv,0.24,0.98,0.15,0.62,0.58,0.45,0.46
