,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.35,0.31,0.49,0.41,0.61
aime.csv,0.72,0.85,0.87,1.0,0.44
badtrinitycore.csv,1.0,1.0,0.63,0.26,0.76
electric-core.csv,0.71,0.57,0.47,0.56,0.71
olsrd.csv,0.79,0.32,0.57,0.51,0.66
