,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.5,0.58,0.74,0.72
freelords.csv,0.89,0.45,0.43,0.54
jfreereport.csv,0.0,0.99,0.95,0.91
super-tux.csv,0.29,0.43,0.42,0.44
