,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.96,0.2,0.5,0.55
freelords.csv,0.12,0.25,0.99,0.64
jfreereport.csv,0.08,0.93,0.24,0.19
super-tux.csv,0.61,0.24,0.71,0.99
