,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.75,0.1,0.32,0.1,0.27,0.0,0.0,0.39,0.36,0.69,0.23,0.21,0.11,0.14,0.37,0.41,0.41,0.33
exl.csv,0.11,0.27,0.65,0.11,0.62,0.44,0.09,0.25,0.56,0.6,0.19,0.2,0.55,0.24,0.38,0.51,0.85,0.06
ildjit.csv,0.22,0.18,0.04,0.03,0.29,0.32,0.0,0.58,0.05,0.0,0.36,0.28,0.3,0.0,0.43,0.06,0.41,0.0
konversation.csv,0.74,0.46,0.58,0.11,0.55,0.53,0.05,0.09,0.16,0.21,0.59,0.2,0.63,0.39,0.21,0.45,0.53,0.09
ltp.csv,0.78,0.21,0.69,0.07,0.52,0.32,0.0,0.11,0.48,0.57,0.54,0.05,0.76,0.32,0.21,0.5,0.51,0.05
mcmc-jags.csv,0.75,0.28,0.7,0.1,0.62,0.71,0.06,0.42,0.67,0.43,0.52,0.16,0.78,0.52,0.26,0.55,0.88,0.07
micomt.csv,0.68,0.25,0.73,0.07,0.57,0.63,0.04,0.17,0.64,0.39,0.54,0.1,0.75,0.63,0.25,0.57,0.87,0.06
migen.csv,0.6,0.36,0.59,0.14,0.7,0.22,0.25,0.15,0.61,0.09,0.65,0.2,0.52,0.57,0.06,0.41,0.88,0.07
moviesandbox.csv,0.17,0.35,0.7,0.17,0.47,0.5,0.18,0.07,0.65,0.09,0.68,0.14,0.75,0.56,0.15,0.43,0.86,0.06
nebuladevice.csv,0.0,0.12,0.04,0.0,0.27,0.35,0.0,0.0,0.1,0.51,0.03,0.05,0.26,0.19,0.4,0.23,0.0,0.03
opengs.csv,0.16,0.38,0.66,0.12,0.55,0.57,0.11,0.16,0.72,0.3,0.57,0.17,0.58,0.47,0.28,0.52,0.85,0.06
openxava.csv,0.33,0.4,0.56,0.08,0.41,0.36,0.1,0.21,0.45,0.6,0.04,0.34,0.45,0.14,0.36,0.42,0.63,0.08
passwordsafe.csv,0.77,0.32,0.75,0.12,0.58,0.35,0.06,0.21,0.69,0.45,0.63,0.16,0.71,0.53,0.26,0.67,0.89,0.06
phonon-vlc-mplayer.csv,0.83,0.33,0.74,0.09,0.58,0.5,0.1,0.23,0.66,0.28,0.71,0.17,0.68,0.56,0.17,0.48,0.78,0.11
sepgsql.csv,0.57,0.42,0.71,0.2,0.6,0.32,0.25,0.24,0.62,0.33,0.63,0.22,0.76,0.31,0.27,0.58,0.86,0.09
tcl.csv,0.59,0.03,0.46,0.0,0.34,0.3,0.0,0.48,0.53,0.71,0.17,0.11,0.29,0.0,0.29,0.36,0.48,0.02
unflobtactical.csv,0.13,0.31,0.75,0.24,0.53,0.58,0.07,0.2,0.6,0.22,0.7,0.09,0.78,0.61,0.12,0.61,0.86,0.06
