,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.25,0.69,0.41,0.54,0.5,0.54,0.62,0.67,0.87,0.32,0.89,0.97,0.53,0.12,0.58,0.88,0.0,0.32,0.75
dxengine.csv,0.55,0.31,0.78,0.58,0.77,0.08,0.02,0.0,0.04,0.16,0.0,0.56,0.17,0.18,0.67,0.0,0.0,0.32,0.5
e-bio-flow.csv,0.15,0.25,0.19,0.51,0.27,0.54,0.5,1.0,0.26,0.2,0.44,0.28,0.63,0.31,0.03,0.73,0.0,0.8,0.25
emono.csv,0.75,0.94,0.48,0.9,0.45,0.92,0.77,1.0,0.78,0.73,0.78,0.82,0.8,0.8,0.9,1.0,1.0,0.74,0.75
freedom-erp.csv,0.75,0.25,0.07,0.34,0.0,0.15,0.42,0.33,0.09,0.0,0.0,0.0,0.33,0.03,0.19,0.75,0.0,0.06,0.0
haggle.csv,0.25,0.06,0.37,0.25,0.23,0.31,0.63,0.33,0.57,0.65,0.61,0.08,0.6,0.09,0.07,0.01,0.0,0.08,0.25
jbpm.csv,0.2,0.12,0.07,0.03,0.09,0.0,0.77,0.0,0.22,0.14,0.17,0.0,0.2,0.01,0.12,0.2,0.0,0.0,0.25
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.04,0.0,1.0,0.0,0.0
jmoney.csv,0.85,0.38,0.85,0.51,0.68,0.85,0.75,0.33,0.48,0.41,0.33,0.74,0.77,0.37,0.19,0.35,0.0,0.68,0.25
jmonkeyengine.csv,0.3,0.5,0.89,0.32,0.91,0.15,0.75,0.33,0.87,0.93,0.67,0.33,0.43,0.89,0.32,0.0,1.0,0.84,0.75
jsidplay2.csv,0.75,0.44,0.26,0.8,0.14,1.0,0.83,0.67,0.17,0.28,0.78,0.72,0.53,0.37,0.68,0.99,0.0,0.29,0.75
log4net.csv,0.65,0.56,0.19,0.25,0.18,0.62,0.25,1.0,0.13,0.08,0.0,0.64,0.47,0.14,0.51,0.29,0.0,0.32,0.25
matrex.csv,0.7,0.31,0.37,0.37,0.68,0.38,0.5,0.67,0.0,0.08,0.11,0.64,0.37,0.05,0.84,0.35,0.0,0.2,0.0
mediate.csv,0.3,0.62,0.26,0.12,0.23,0.77,0.75,0.67,0.35,0.5,0.44,0.74,0.5,0.22,0.67,0.48,1.0,0.09,0.0
piccolo2d.csv,0.65,0.5,0.22,0.47,0.55,0.85,0.52,0.67,0.09,0.28,0.39,0.56,0.47,0.27,0.71,0.57,0.0,0.2,0.25
pustefix.csv,0.25,0.19,0.74,0.25,0.23,0.38,0.46,0.33,0.57,0.31,0.72,0.21,0.5,0.7,0.19,0.55,1.0,0.51,0.25
sblim.csv,0.2,0.0,0.11,0.14,0.82,0.46,0.37,0.0,0.17,0.03,0.22,0.05,0.43,0.5,0.04,0.33,0.0,0.81,0.25
thedata.csv,0.85,0.81,0.78,0.75,0.91,0.62,0.44,0.67,0.65,0.49,0.28,0.74,0.77,0.43,0.88,0.97,0.0,0.65,1.0
tmva.csv,0.7,1.0,0.63,0.95,0.27,1.0,0.98,1.0,0.74,1.0,1.0,1.0,1.0,0.78,0.99,1.0,0.0,0.28,1.0
