,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.6,0.71,0.9,0.5,0.73,0.87,0.69,0.83,0.59,0.93,0.89,0.9,0.55,0.71,0.94,0.5
galaxium.csv,0.5,0.89,0.71,0.5,0.92,0.67,0.86,0.24,0.9,0.62,0.57,0.57,0.77,0.73,0.5,0.53
hydrate.csv,0.75,0.8,0.89,0.0,0.89,0.68,0.67,0.27,0.88,0.54,0.45,0.91,0.47,0.86,0.54,0.43
ivef-sdk.csv,0.45,0.5,0.63,0.49,0.54,0.61,0.7,0.0,0.47,0.89,0.5,0.55,0.6,0.94,0.48,0.0
jmri.csv,0.46,0.45,0.59,0.52,0.46,0.57,0.52,0.25,0.52,0.41,0.51,0.49,0.54,0.48,0.52,0.46
jython.csv,0.46,0.48,0.6,0.49,0.48,0.6,0.59,0.95,0.53,0.51,0.73,0.41,0.47,0.62,0.43,0.74
kdenlive.csv,0.43,0.4,0.57,0.43,0.54,0.59,0.54,0.73,0.52,0.55,0.4,0.55,0.56,0.57,0.72,0.43
ninject.csv,0.9,0.83,0.49,0.5,0.88,0.67,0.8,0.27,0.83,0.91,0.82,0.38,0.88,0.86,0.8,0.73
ondex.csv,0.67,0.8,0.49,0.0,0.5,0.0,0.8,0.27,0.89,0.67,0.83,0.43,0.97,0.8,0.0,0.67
opentibia.csv,0.42,0.43,0.44,0.46,0.47,0.57,0.59,0.26,0.46,0.42,0.49,0.37,0.44,0.44,0.45,0.36
runuomondains.csv,0.89,0.89,0.99,0.92,0.96,0.67,0.61,0.94,0.75,0.94,0.88,0.92,0.76,0.92,0.93,0.9
somap.csv,0.43,0.43,0.39,0.38,0.4,0.47,0.43,0.27,0.49,0.36,0.43,0.35,0.33,0.43,0.42,0.37
taverna.csv,0.85,0.84,0.96,0.86,0.73,0.9,0.92,0.5,0.66,0.95,0.89,0.88,0.92,0.9,0.9,0.5
tigermud.csv,0.58,0.56,0.45,0.42,0.45,0.66,0.45,0.63,0.64,0.42,0.44,0.35,0.33,0.5,0.42,0.4
unbvision.csv,0.6,0.57,0.6,0.84,0.92,0.69,0.67,0.97,0.72,0.61,0.69,0.56,0.62,0.59,0.83,0.75
x-ray-mule.csv,0.42,0.53,0.58,0.67,0.57,0.6,0.5,0.96,0.55,0.66,0.64,0.49,0.43,0.73,0.61,0.52
