,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.54,0.68,0.73,0.64,0.88,0.68,0.89,0.8,0.52,0.79,0.83,0.79,0.33,0.83,0.96,0.51,0.47
blogentis.csv,0.72,0.69,0.95,0.73,1.02,0.72,0.37,0.64,0.96,0.73,0.93,0.96,0.93,0.73,0.44,0.91,0.78
bochs.csv,0.99,0.88,0.45,0.57,0.26,0.64,0.63,1.02,0.46,0.65,0.97,0.84,0.57,0.67,0.77,1.0,0.43
galaxium.csv,0.98,0.65,0.63,0.67,0.61,0.73,0.71,0.78,0.58,0.59,0.52,0.5,0.69,0.3,0.43,0.7,0.65
gisgraphy.csv,0.75,0.73,0.54,0.58,0.65,0.46,0.6,1.0,0.71,0.92,0.9,0.97,0.82,0.7,0.91,0.54,0.36
haphazard.csv,0.99,0.92,0.72,0.69,0.93,0.57,0.88,0.77,0.78,0.61,0.89,0.95,1.07,0.94,0.79,1.0,0.78
ipfire-wall.csv,0.71,0.76,0.7,0.72,0.78,0.93,0.76,0.83,0.67,0.88,0.37,0.49,0.8,0.78,0.52,0.61,0.97
jmri.csv,0.52,0.88,0.74,0.51,0.82,0.59,0.81,0.81,0.64,0.74,0.8,0.57,0.74,0.73,0.99,0.57,0.58
jvcl.csv,0.5,0.52,0.76,0.53,0.76,0.74,0.67,0.72,0.59,0.88,0.65,0.69,0.59,0.94,0.58,0.63,0.82
kaffeine.csv,0.95,0.99,0.48,0.62,0.22,0.54,0.65,0.68,0.59,0.82,0.95,0.84,0.99,0.59,0.59,0.94,0.9
m-a-d-n-e-s-s.csv,0.99,0.62,0.84,0.77,0.84,0.74,0.56,0.83,0.8,0.59,0.63,0.43,0.75,0.75,0.46,0.83,0.93
magicwars.csv,1.0,0.82,1.0,0.91,1.0,0.9,0.93,0.36,1.0,0.94,1.0,1.0,1.0,0.85,0.4,1.0,0.91
nh3d.csv,0.01,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opentibia.csv,0.52,0.91,0.37,0.68,0.73,0.59,0.63,0.8,0.78,0.67,0.89,0.94,0.76,0.66,0.8,0.52,0.59
sarasvati.csv,0.73,0.99,0.61,0.72,0.84,0.37,0.88,0.66,0.74,0.65,0.54,0.64,0.8,0.49,0.41,0.74,0.6
smartgwt.csv,0.79,0.48,0.57,0.84,0.43,0.68,0.67,0.76,0.65,0.76,0.57,0.55,0.82,0.66,0.36,0.57,0.86
tweetsharp.csv,0.75,0.77,0.65,0.77,0.7,0.81,0.91,0.98,0.55,0.81,0.92,0.7,0.55,0.71,1.04,0.39,0.55
