,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.34,0.41,0.59,0.27,0.46,0.95,0.21,0.54,0.57,0.16,0.11
ikvm.csv,0.52,0.95,0.48,0.13,0.57,0.2,0.38,0.29,0.25,0.32,0.39
libtorrent.csv,0.75,0.68,0.81,0.47,0.82,0.65,1.0,0.62,0.89,0.98,0.41
mcmc-jags.csv,0.56,0.55,0.41,0.93,0.43,0.3,0.55,0.71,0.64,0.66,0.51
moast.csv,0.21,0.14,0.48,0.67,0.47,0.65,0.12,0.71,0.75,0.61,0.99
olap-navigator.csv,1.0,0.77,0.7,0.67,0.6,0.4,0.53,0.85,0.43,0.92,1.0
pidgin.csv,0.72,0.77,0.89,0.47,1.0,0.55,0.67,0.71,0.96,0.93,0.95
salasaga.csv,0.84,0.86,0.7,1.0,0.68,0.85,0.86,0.71,0.96,0.81,0.04
sepgsql.csv,0.1,0.0,0.93,0.13,0.04,0.15,0.04,0.02,0.11,0.08,0.0
sigil.csv,0.62,0.32,0.33,0.53,0.48,0.55,0.38,1.0,0.39,0.84,0.98
xtreemfs.csv,0.56,0.68,0.19,0.27,0.15,0.0,0.3,0.56,0.04,1.0,0.97
