,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.38,0.45,0.62,0.31,0.5,0.96,0.25,0.59,0.59,0.19,0.13
ikvm.csv,0.49,0.96,0.5,0.15,0.57,0.24,0.42,0.32,0.29,0.35,0.41
libtorrent.csv,0.51,0.62,0.5,0.5,0.49,0.55,1.0,0.63,0.17,0.52,0.38
mcmc-jags.csv,0.53,0.47,0.46,0.94,0.47,0.35,0.56,0.71,0.64,0.61,0.36
moast.csv,0.25,0.17,0.51,0.69,0.51,0.68,0.15,0.7,0.67,0.65,0.99
olap-navigator.csv,1.0,0.65,0.68,0.7,0.62,0.44,0.56,0.79,0.46,0.66,0.57
pidgin.csv,0.67,0.33,0.61,0.49,0.99,0.53,0.63,0.68,0.5,0.61,0.73
salasaga.csv,0.0,0.34,0.55,0.0,0.22,0.09,0.0,0.2,0.97,0.09,0.04
sepgsql.csv,0.12,0.0,0.94,0.16,0.05,0.18,0.05,0.02,0.13,0.1,0.0
sigil.csv,0.66,0.33,0.37,0.58,0.49,0.59,0.43,1.0,0.43,0.79,0.81
xtreemfs.csv,0.57,0.61,0.23,0.32,0.18,0.0,0.34,0.6,0.05,1.0,0.91
