,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.19,0.2,0.22,0.1,0.2,0.0,0.17,0.05,0.31,0.16,0.28
ikvm.csv,0.59,0.0,0.37,0.52,0.42,0.2,0.28,0.41,0.12,0.39,0.48
libtorrent.csv,0.78,0.53,0.8,0.31,0.81,0.66,0.0,0.3,0.96,0.82,0.72
mcmc-jags.csv,0.56,0.7,0.18,0.0,0.23,0.13,0.39,0.3,0.36,0.52,0.83
moast.csv,0.07,0.13,0.28,0.24,0.2,0.13,0.0,0.35,0.52,0.08,0.0
olap-navigator.csv,0.0,0.6,0.4,0.12,0.27,0.24,0.28,0.38,0.36,0.69,0.79
pidgin.csv,0.48,0.9,0.73,0.4,0.03,0.52,0.5,0.41,0.83,0.74,0.62
salasaga.csv,1.0,0.9,0.71,1.0,0.94,0.98,1.0,0.95,0.0,0.98,0.97
sepgsql.csv,0.0,0.03,0.0,0.02,0.0,0.17,0.0,0.03,0.01,0.02,0.0
sigil.csv,0.15,0.6,0.2,0.1,0.47,0.19,0.17,0.0,0.27,0.36,0.52
xtreemfs.csv,0.41,0.57,0.03,0.05,0.0,0.03,0.28,0.14,0.01,0.0,0.28
