,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0
ikvm.csv,0.0,0.0,130.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,1.0
libtorrent.csv,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,60.0,2.0,2.0
mcmc-jags.csv,1.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,14.0,3.0,0.0
moast.csv,0.0,1.0,10.0,0.0,0.0,1.0,0.0,5.0,17.0,0.0,0.0
olap-navigator.csv,0.0,0.0,10.0,0.0,0.0,1.0,1.0,2.0,12.0,3.0,1.0
pidgin.csv,0.0,3.0,15.0,0.0,0.0,4.0,0.0,4.0,35.0,2.0,0.0
salasaga.csv,0.0,0.0,51.0,0.0,2.0,2.0,1.0,9.0,0.0,6.0,11.0
sepgsql.csv,0.0,51.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,257.0
sigil.csv,0.0,0.0,22.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0
xtreemfs.csv,1.0,1.0,0.0,0.0,0.0,105.0,1.0,2.0,1.0,0.0,0.0
