,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.48,0.49,0.19,0.35,0.6,0.97,0.33,0.68,0.35,0.26,0.2
ikvm.csv,0.59,0.98,0.1,0.1,0.66,0.2,0.53,0.37,0.26,0.46,0.54
libtorrent.csv,0.72,0.57,0.09,0.4,0.77,0.29,1.0,0.67,0.25,0.92,0.55
mcmc-jags.csv,0.62,0.44,0.16,0.97,0.56,0.32,0.68,0.74,0.35,0.75,0.63
moast.csv,0.34,0.21,0.13,0.57,0.6,0.59,0.22,0.73,0.32,0.75,1.0
olap-navigator.csv,1.0,0.6,0.14,0.67,0.71,0.33,0.67,0.8,0.25,0.9,0.95
pidgin.csv,0.75,0.52,0.1,0.36,0.99,0.29,0.76,0.71,0.29,0.9,0.94
salasaga.csv,0.73,0.56,0.09,0.42,0.66,0.28,0.84,0.6,0.98,0.81,0.07
sepgsql.csv,0.18,0.0,0.96,0.22,0.07,0.16,0.08,0.04,0.19,0.15,0.0
sigil.csv,0.74,0.3,0.12,0.59,0.58,0.47,0.54,1.0,0.27,0.88,0.96
xtreemfs.csv,0.64,0.56,0.2,0.38,0.27,0.0,0.44,0.67,0.07,1.0,0.97
