,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.84,1.0,0.14,0.78,0.33,0.54,0.48,0.05,1.0,0.72,0.97
cubefs.csv,0.31,1.0,1.0,0.73,0.67,0.83,0.79,0.84,1.0,0.78,1.0
iaml.csv,0.58,0.08,0.76,0.41,1.0,0.35,0.69,0.3,1.0,0.57,0.68
ivataopenportal.csv,0.75,1.0,0.9,0.9,1.0,0.77,0.79,0.97,0.0,0.82,1.0
mb-unit.csv,0.97,1.0,0.81,0.99,1.0,0.99,0.99,0.92,1.0,0.98,0.88
mvdsv.csv,0.01,0.0,0.0,0.02,1.0,0.01,0.04,0.01,0.0,0.12,0.05
nova.csv,0.43,0.77,0.9,0.34,0.0,0.32,0.44,0.61,1.0,0.28,0.63
olex2.csv,0.7,0.54,0.33,0.66,0.67,0.9,0.47,0.65,0.0,0.6,0.63
openwbem.csv,0.38,0.15,0.29,0.34,0.33,0.37,0.24,0.29,1.0,0.15,0.43
xcmetadataservicestoolkit.csv,0.81,0.85,0.33,0.68,0.0,0.85,0.47,0.34,1.0,0.88,0.83
