,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.45,0.66,0.42,0.54,0.62
open-data-kit.csv,0.65,0.5,0.77,0.64,0.73
qtractor.csv,0.69,0.65,0.68,0.73,0.55
quarkplayer.csv,0.21,0.72,0.24,0.45,0.0
turbotrader-bos.csv,0.41,0.4,0.17,0.71,0.45
