,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.6,0.65,0.39,0.5,0.76,0.63,0.26,0.6,0.72,0.7
betoffice.csv,0.34,0.19,0.42,0.53,0.38,0.0,0.6,0.44,0.39,0.44
bnetd.csv,0.0,0.33,0.35,0.59,0.4,0.47,0.0,0.7,0.0,0.31
graphmak.csv,0.07,0.76,0.8,0.56,0.46,0.46,0.53,0.0,0.27,0.63
hazelcast.csv,0.65,0.49,0.59,0.56,0.61,0.96,0.53,0.49,0.64,0.72
megasquirtavr.csv,0.0,0.31,0.64,0.55,0.4,0.0,0.48,0.0,0.32,0.4
pdfedit.csv,0.59,0.46,0.62,0.76,0.47,0.32,0.26,0.66,0.56,0.46
stajistics.csv,0.0,0.39,0.06,0.38,0.09,0.8,0.5,0.45,0.73,0.72
twostep.csv,0.71,0.64,0.75,0.63,0.59,0.77,0.48,0.66,0.81,0.62
xharbour.csv,0.8,0.57,0.76,0.68,0.44,0.6,0.47,0.54,0.62,0.65
