,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.34,0.58,0.45,0.5,0.6,0.82,0.5,0.11,0.43,0.75,0.41,0.46
emite.csv,0.23,0.0,0.49,0.53,0.5,0.4,0.2,0.55,0.27,0.54,0.71,0.24
geogebra.csv,0.34,0.6,0.35,0.57,0.5,0.55,0.54,0.47,0.44,0.76,0.07,0.66
hibernate.csv,0.46,0.72,0.17,0.55,0.74,0.62,0.64,0.58,0.56,0.73,0.38,0.58
httpcontentparser.csv,0.35,0.05,0.75,0.74,0.64,0.0,0.54,0.35,0.55,0.73,0.54,0.65
megameknet.csv,0.46,0.58,0.69,0.66,0.61,0.51,0.73,0.57,0.6,0.53,0.3,0.65
myfaces.csv,0.31,0.69,0.68,0.68,0.56,0.72,0.57,0.59,0.56,0.76,0.22,0.61
ns-3.csv,0.64,0.17,0.6,0.54,0.55,0.51,0.62,0.38,0.62,0.35,0.19,0.69
ondex.csv,0.23,0.23,0.67,0.68,0.65,0.49,0.37,0.6,0.42,0.78,0.36,0.45
pixel-commandos.csv,0.19,0.36,0.5,0.18,0.24,0.12,0.16,0.21,0.41,0.99,0.04,0.15
rsyslog.csv,0.44,0.8,0.69,0.43,0.66,0.82,0.52,0.34,0.62,0.92,0.44,0.65
wow-qrsk.csv,0.19,0.1,0.35,0.75,0.83,0.0,0.5,0.53,0.43,0.29,0.47,0.57
