,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.72,0.78,0.24,0.13,0.45,0.91,0.2,0.12,0.38,0.12,0.4,0.27
emite.csv,0.78,0.0,0.19,0.23,0.52,0.73,0.48,0.29,0.37,0.11,0.67,0.42
geogebra.csv,0.75,0.55,0.38,0.46,0.21,0.81,0.53,0.18,0.37,0.13,0.67,0.44
hibernate.csv,0.73,0.7,0.1,0.15,0.39,0.75,0.46,0.19,0.44,0.09,0.41,0.35
httpcontentparser.csv,0.72,1.0,0.28,0.22,0.29,0.0,0.25,0.17,0.31,0.08,0.43,0.27
megameknet.csv,0.77,0.74,0.19,0.17,0.23,0.85,0.43,0.21,0.36,0.07,0.38,0.27
myfaces.csv,0.77,0.69,0.18,0.38,0.57,0.82,0.62,0.2,0.41,0.14,0.43,0.45
ns-3.csv,0.76,0.51,0.12,0.26,0.2,0.71,0.43,0.13,0.35,0.04,0.45,0.38
ondex.csv,0.85,0.83,0.14,0.18,0.55,0.87,0.59,0.3,0.37,0.3,0.42,0.45
pixel-commandos.csv,0.79,0.8,0.3,0.08,0.3,1.0,0.27,0.14,0.29,0.4,0.14,0.26
rsyslog.csv,0.65,0.78,0.2,0.11,0.28,0.93,0.38,0.16,0.33,0.13,0.43,0.27
wow-qrsk.csv,0.88,1.0,0.26,0.26,0.44,0.0,0.56,0.19,0.43,0.1,0.65,0.49
