,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.42,0.64,0.3,0.22,0.5,0.87,0.3,0.1,0.38,0.21,0.39,0.33
emite.csv,0.3,0.0,0.26,0.32,0.48,0.49,0.26,0.37,0.28,0.18,0.69,0.27
geogebra.csv,0.43,0.66,0.33,0.49,0.29,0.64,0.51,0.26,0.38,0.22,0.12,0.52
hibernate.csv,0.53,0.72,0.18,0.25,0.51,0.77,0.52,0.31,0.48,0.17,0.38,0.43
httpcontentparser.csv,0.43,0.07,0.41,0.35,0.4,0.0,0.34,0.29,0.4,0.15,0.51,0.4
megameknet.csv,0.54,0.62,0.29,0.28,0.34,0.61,0.54,0.3,0.45,0.12,0.31,0.4
myfaces.csv,0.4,0.69,0.29,0.48,0.54,0.8,0.57,0.3,0.47,0.24,0.27,0.51
ns-3.csv,0.7,0.66,0.2,0.34,0.31,0.69,0.5,0.19,0.46,0.07,0.24,0.49
ondex.csv,0.31,0.31,0.24,0.3,0.58,0.6,0.42,0.39,0.38,0.43,0.36,0.42
pixel-commandos.csv,0.26,0.44,0.36,0.11,0.24,0.18,0.18,0.16,0.33,0.57,0.05,0.17
rsyslog.csv,0.51,0.79,0.31,0.17,0.39,0.86,0.42,0.21,0.45,0.24,0.43,0.4
wow-qrsk.csv,0.26,0.14,0.28,0.39,0.59,0.0,0.5,0.32,0.41,0.14,0.51,0.51
