,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.3,0.54,0.4,0.71,0.56,0.83,0.55,0.09,0.39,0.75,0.39,0.43
emite.csv,0.19,0.0,0.45,0.5,0.45,0.37,0.17,0.52,0.23,0.5,0.71,0.2
geogebra.csv,0.3,0.81,0.3,0.52,0.49,0.53,0.49,0.45,0.4,0.75,0.06,0.64
hibernate.csv,0.42,0.73,0.9,0.83,0.74,0.8,0.61,0.85,0.53,0.75,0.35,0.56
httpcontentparser.csv,0.31,0.04,0.75,0.81,0.64,0.0,0.54,0.94,0.57,0.75,0.61,0.8
megameknet.csv,0.42,0.54,0.7,0.79,0.67,0.47,0.74,0.58,0.6,0.5,0.26,0.75
myfaces.csv,0.27,0.69,0.7,0.65,0.51,0.78,0.52,0.61,0.54,0.75,0.19,0.57
ns-3.csv,0.66,0.92,0.75,0.5,0.78,0.68,0.59,0.36,0.65,0.75,0.16,0.7
ondex.csv,0.19,0.19,0.8,0.77,0.61,0.45,0.32,0.58,0.38,0.75,0.32,0.4
pixel-commandos.csv,0.16,0.31,0.45,0.15,0.2,0.1,0.13,0.18,0.38,1.0,0.03,0.12
rsyslog.csv,0.42,0.81,0.7,0.44,0.68,0.81,0.48,0.3,0.73,1.0,0.42,0.78
wow-qrsk.csv,0.16,0.08,0.3,0.79,0.85,0.0,0.45,0.94,0.39,0.25,0.42,0.53
