,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.61,0.61,0.73,0.55,0.73,0.38,0.7,0.96,0.92,0.6,0.73,0.71
emite.csv,0.89,0.0,0.69,0.67,0.88,0.57,0.96,0.72,0.88,0.78,0.48,0.98
geogebra.csv,0.68,0.5,0.94,0.76,0.48,0.45,0.56,0.48,0.51,0.7,0.67,0.49
hibernate.csv,0.56,0.52,0.46,0.51,0.5,0.33,0.58,0.36,0.58,0.5,0.59,0.57
httpcontentparser.csv,0.67,0.0,0.66,0.55,0.57,0.0,0.63,0.33,0.56,0.56,0.52,0.48
megameknet.csv,0.46,0.42,0.45,0.43,0.43,0.47,0.48,0.42,0.45,0.46,0.57,0.45
myfaces.csv,0.67,0.46,0.41,0.61,0.72,0.33,0.64,0.44,0.51,0.57,0.93,0.58
ns-3.csv,0.46,0.55,0.52,0.59,0.42,0.39,0.46,0.42,0.41,0.48,0.91,0.44
ondex.csv,0.88,0.67,0.49,0.51,0.79,0.58,0.95,0.67,0.7,0.9,0.75,0.83
pixel-commandos.csv,0.97,0.8,0.97,0.99,0.99,0.9,0.97,0.91,0.71,0.9,0.86,0.98
rsyslog.csv,0.61,0.52,0.57,0.68,0.5,0.37,0.62,0.61,0.59,0.57,0.6,0.5
wow-qrsk.csv,0.96,0.5,0.96,0.49,0.59,0.0,0.69,0.33,0.61,0.9,0.7,0.62
