,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.39,0.46,0.9,0.63,0.83,0.63,0.73,0.43,0.81,0.33
firebird.csv,0.56,0.8,1.0,0.69,0.88,0.94,0.8,0.93,0.79,1.0
fmri-dmt.csv,0.42,0.57,1.0,0.6,0.95,0.22,0.24,1.0,0.26,1.0
htmlunit.csv,0.57,0.71,0.4,0.54,0.71,0.67,0.73,0.86,0.62,0.5
monetdb.csv,0.68,0.63,0.9,0.49,0.38,0.33,0.51,0.71,0.77,0.17
ontomorphtab.csv,0.61,0.69,0.6,0.69,0.64,0.77,0.73,0.93,0.74,0.33
smarttag.csv,0.72,0.69,0.2,0.78,0.74,0.89,0.78,0.5,0.57,1.0
taokgame.csv,0.24,0.34,1.0,0.39,0.31,0.09,0.6,0.43,0.34,0.17
webdriver.csv,0.78,0.71,0.6,0.72,0.45,0.39,0.76,0.64,0.87,0.17
xbplayer.csv,0.52,0.77,0.7,0.73,0.67,0.56,0.78,0.57,0.55,0.67
