,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.0,0.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,15.0
firebird.csv,0.0,2.0,2.0,0.0,8.0,7.0,9.0,2.0,1.0,2.0
fmri-dmt.csv,0.0,1.0,2.0,7.0,14.0,23.0,0.0,4.0,3.0,2.0
htmlunit.csv,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0
monetdb.csv,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
ontomorphtab.csv,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,15.0
smarttag.csv,1.0,1.0,19.0,1.0,3.0,4.0,0.0,0.0,7.0,1.0
taokgame.csv,0.0,0.0,2.0,2.0,4.0,9.0,0.0,2.0,2.0,4.0
webdriver.csv,0.0,0.0,2.0,8.0,1.0,14.0,0.0,0.0,3.0,14.0
xbplayer.csv,0.0,1.0,0.0,2.0,4.0,8.0,0.0,1.0,5.0,5.0
